Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	Number_rare	Number_ultra_rare
ENSG00000172748	pLoF	1e-04	0.35055680758615	0.35055680758615	0.35055680758615	0.0153710603401594	0.0164658798112244	6	0	6
ENSG00000172748	pLoF	0.001	0.35055680758615	0.35055680758615	0.35055680758615	0.0153710603401594	0.0164658798112244	6	0	6
ENSG00000172748	pLoF	0.01	0.35055680758615	0.35055680758615	0.35055680758615	0.0153710603401594	0.0164658798112244	6	0	6
ENSG00000172748	synonymous	1e-04	0.541758959294073	0.541758959294073	0.541758959294073	-0.00783916120763551	0.0128478137237801	10	0	10
ENSG00000172748	synonymous	0.001	0.811729755089856	0.893655205610736	0.706836790814928	-0.000727631405181801	0.00544306213953879	64	1	20
ENSG00000172748	synonymous	0.01	1	1	0.92219828509817	-2.98346907618574e-05	Inf	122	2	20
ENSG00000172748	pLoF;damaging_missense	1e-04	0.35055680758615	0.35055680758615	0.35055680758615	0.0153710603401594	0.0164658798112244	6	0	6
ENSG00000172748	pLoF;damaging_missense	0.001	0.35055680758615	0.35055680758615	0.35055680758615	0.0153710603401594	0.0164658798112244	6	0	6
ENSG00000172748	pLoF;damaging_missense	0.01	0.35055680758615	0.35055680758615	0.35055680758615	0.0153710603401594	0.0164658798112244	6	0	6
ENSG00000172748	damaging_missense;pLoF;synonymous	1e-04	0.928886837187087	0.928886837187087	0.928886837187087	0.000916847401533986	0.0102733225393171	16	0	16
ENSG00000172748	damaging_missense;pLoF;synonymous	0.001	0.666120802072139	0.889903320875398	0.541157955792954	0.000723847467164998	0.00522910890394799	70	1	26
ENSG00000172748	damaging_missense;pLoF;synonymous	0.01	1	0.849352925800672	0.81593969228951	0.000737136665348536	0.00388080820315605	128	2	26
ENSG00000172748	Cauchy	NA	1	1	0.685711661418196	NA	NA	NA	NA	NA
ENSG00000147364	pLoF	1e-04	0.0893390515074295	0.0893390515074295	0.0893390515074295	0.0480664112243006	0.0282927570976218	2	0	2
