Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ENSG00000188992	damaging_missense	1e-04	0.438372631833253	0.327668615977653	0.43310234577643	0.0226699573067129	0.0231604817895089	47	5	42	1	14
ENSG00000188992	damaging_missense	0.001	0.438372631833253	0.327668615977653	0.43310234577643	0.0226699573067129	0.0231604817895089	47	5	42	1	14
ENSG00000188992	damaging_missense	0.01	0.438372631833253	0.327668615977653	0.43310234577643	0.0226699573067129	0.0231604817895089	47	5	42	1	14
ENSG00000188992	pLoF	1e-04	0.624752067065516	0.624752067065516	0.624752067065516	-0.0161732950161654	0.0330656620534924	24	1	23	0	8
ENSG00000188992	pLoF	0.001	0.624752067065516	0.624752067065516	0.624752067065516	-0.0161732950161654	0.0330656620534924	24	1	23	0	8
ENSG00000188992	pLoF	0.01	0.624752067065516	0.624752067065516	0.624752067065516	-0.0161732950161654	0.0330656620534924	24	1	23	0	8
ENSG00000188992	synonymous	1e-04	0.376976136377318	0.899945888371171	0.260911079202568	0.00174913618615427	0.0139118771154209	130	9	121	2	27
ENSG00000188992	synonymous	0.001	0.534364149001756	0.626143700480998	0.373656210291297	-0.00498409979644983	0.0102308928587603	239	15	224	3	27
ENSG00000188992	synonymous	0.01	0.534364149001756	0.626143700480998	0.373656210291297	-0.00498409979644983	0.0102308928587603	239	15	224	3	27
ENSG00000188992	damaging_missense;pLoF;synonymous	1e-04	0.702343011590871	0.680281647244711	0.543280071333377	0.00469645282224158	0.0113969767845816	201	15	186	3	49
ENSG00000188992	damaging_missense;pLoF;synonymous	0.001	0.755489982149173	0.856655513681664	0.582085591916652	-0.00162940577726171	0.00902052333411836	310	21	289	4	49
ENSG00000188992	damaging_missense;pLoF;synonymous	0.01	0.755489982149173	0.856655513681664	0.582085591916652	-0.00162940577726171	0.00902052333411836	310	21	289	4	49
ENSG00000188992	Cauchy	NA	0.584672672720685	0.689385573577347	0.486539500942097	NA	NA	NA	NA	NA	NA	NA
ENSG00000185272	damaging_missense	1e-04	0.273488069182683	0.17993712872158	0.594667083329286	0.0269878913011985	0.0201259694162388	70	7	63	2	15
ENSG00000185272	damaging_missense	0.001	0.273488069182683	0.17993712872158	0.594667083329286	0.0269878913011985	0.0201259694162388	70	7	63	2	15
ENSG00000185272	damaging_missense	0.01	0.273488069182683	0.17993712872158	0.594667083329286	0.0269878913011985	0.0201259694162388	70	7	63	2	15
ENSG00000185272	pLoF	1e-04	1	0.92302862647618	0.778161316691792	-0.00200552056630694	0.0207569076380625	56	4	52	1	11
ENSG00000185272	pLoF	0.001	0.685872608274988	0.5555061945665	0.565761404542835	0.00497189143084781	0.00843366151592369	352	28	324	2	11
ENSG00000185272	pLoF	0.01	0.685872608274988	0.5555061945665	0.565761404542835	0.00497189143084781	0.00843366151592369	352	28	324	2	11
ENSG00000185272	synonymous	1e-04	0.294304841071595	0.397739867461146	0.180438007669958	-0.00728813778393804	0.00861823664107392	323	20	303	7	41
ENSG00000185272	synonymous	0.001	0.294304841071595	0.397739867461146	0.180438007669958	-0.00728813778393804	0.00861823664107392	323	20	303	7	41
ENSG00000185272	synonymous	0.01	0.157614306726181	0.120469177946518	0.173427551625418	-0.00495406307360038	0.00319039140938027	2740	177	2563	8	41
ENSG00000185272	damaging_missense;pLoF;synonymous	1e-04	0.438080466098947	0.698349554544143	0.273231216571665	-0.00287929141594442	0.00742948319890786	445	30	415	10	67
ENSG00000185272	damaging_missense;pLoF;synonymous	0.001	0.631041164006872	0.89495674907741	0.434755348446953	0.000762101127964572	0.00577197074130838	741	54	687	11	67
ENSG00000185272	damaging_missense;pLoF;synonymous	0.01	0.275506469829046	0.279141246414193	0.188712776013312	-0.00319614666214026	0.00295324117762048	3158	211	2947	12	67
ENSG00000185272	Cauchy	NA	1	0.481542216539763	0.378546143502708	NA	NA	NA	NA	NA	NA	NA
ENSG00000155304	damaging_missense	1e-04	0.248972288990712	0.175891941350561	0.2698790730916	0.0338394963773736	0.025001243034768	38	5	33	1	12
ENSG00000155304	damaging_missense	0.001	0.248972288990712	0.175891941350561	0.2698790730916	0.0338394963773736	0.025001243034768	38	5	33	1	12
ENSG00000155304	damaging_missense	0.01	0.248972288990712	0.175891941350561	0.2698790730916	0.0338394963773736	0.025001243034768	38	5	33	1	12
ENSG00000155304	pLoF	1e-04	1	0.851547890265173	0.890573434586135	-0.00271632619380511	0.0145146472833116	125	8	117	2	33
ENSG00000155304	pLoF	0.001	0.650468575313314	0.480826654895357	0.480579537800515	0.00759870017036198	0.0107787014810715	207	18	189	3	33
ENSG00000155304	pLoF	0.01	0.650468575313314	0.480826654895357	0.480579537800515	0.00759870017036198	0.0107787014810715	207	18	189	3	33
ENSG00000155304	synonymous	1e-04	0.79667802277704	0.923249135642201	0.600509834760643	-0.000752913891006974	0.0078150304983471	388	29	359	11	68
ENSG00000155304	synonymous	0.001	0.764376891926798	0.57220784374848	0.592358309521905	-0.00366736035551001	0.00649316858249802	550	39	511	12	68
ENSG00000155304	synonymous	0.01	0.764376891926798	0.57220784374848	0.592358309521905	-0.00366736035551001	0.00649316858249802	550	39	511	12	68
ENSG00000155304	damaging_missense;pLoF;synonymous	1e-04	1	0.841829647701113	0.979794866673145	0.00133014450098619	0.00666559705336907	550	42	508	14	113
ENSG00000155304	damaging_missense;pLoF;synonymous	0.001	1	0.852874386813637	0.821261690480104	0.00101243990541092	0.00545930450652449	794	62	732	16	113
ENSG00000155304	damaging_missense;pLoF;synonymous	0.01	1	0.852874386813637	0.821261690480104	0.00101243990541092	0.00545930450652449	794	62	732	16	113
ENSG00000155304	Cauchy	NA	1	0.675655287257962	0.826992495397802	NA	NA	NA	NA	NA	NA	NA
ENSG00000155307	damaging_missense	1e-04	1	0.824214001812347	1	0.00574987332477429	0.025885369501243	37	3	34	1	19
ENSG00000155307	damaging_missense	0.001	1	0.824214001812347	1	0.00574987332477429	0.025885369501243	37	3	34	1	19
ENSG00000155307	damaging_missense	0.01	1	0.824214001812347	1	0.00574987332477429	0.025885369501243	37	3	34	1	19
ENSG00000155307	pLoF	1e-04	0.842604762469676	0.913952745510858	0.714003189683103	0.00147773287519707	0.0136758560636495	123	10	113	2	34
ENSG00000155307	pLoF	0.001	1	0.880336599879679	0.88800866301341	-0.00131690577380919	0.00874773251170649	326	23	303	3	34
ENSG00000155307	pLoF	0.01	1	0.880336599879679	0.88800866301341	-0.00131690577380919	0.00874773251170649	326	23	303	3	34
ENSG00000155307	synonymous	1e-04	0.175153030312161	0.113300888333825	0.138855688961757	0.0110722999782909	0.00699216643607228	499	45	454	15	71
ENSG00000155307	synonymous	0.001	0.314186837454765	0.191933159943188	0.2918229845554	0.0079875212711114	0.00612126121948212	648	56	592	16	71
ENSG00000155307	synonymous	0.01	0.106990812760438	0.0729316361194182	0.187924442292577	0.00579068021998976	0.00322913899595393	2549	209	2340	17	71
