Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
LIPI	missense;lof	0.01	0.116133599999999	0.116133599999999	0.116133599999999	0.0173016501812328	0.0110116642560585	104	33	71	1	0
LIPI	missense;lof;synonymous	0.01	0.116133599999999	0.116133599999999	0.116133599999999	0.0173016501812328	0.0110116642560585	104	33	71	1	0
LIPI	Cauchy	NA	0.116133599999999	0.116133599999999	0.116133599999999	NA	NA	NA	NA	NA	NA	NA
RBM11	lof	0.01	0.8899367	0.8899367	0.8899367	0.00261090336453444	0.0188670482060945	27	7	20	1	0
RBM11	missense;lof	0.01	0.77119654068164	0.603244999153373	0.592515280302562	0.00502195753588146	0.0096624470862367	102	28	74	4	0
RBM11	missense;lof;synonymous	0.01	0.740389364088835	0.816790940407308	0.542219516878708	0.00154182320432196	0.00665513069577155	233	60	173	6	0
RBM11	Cauchy	NA	0.823969054083882	0.81772159714844	0.760681340142429	NA	NA	NA	NA	NA	NA	NA
HSPA13	missense;lof;synonymous	0.01	0.10754924063277	0.58597857947063	0.0661077842833693	-0.00559229290120903	0.0102672521245854	88	20	68	3	0
HSPA13	Cauchy	NA	0.10754924063277	0.58597857947063	0.0661077842833693	NA	NA	NA	NA	NA	NA	NA
SAMSN1	missense;lof	0.01	0.211699590258544	0.961011733810659	0.150630390757072	-0.00027114000501347	0.00554659936898816	138	36	102	2	0
SAMSN1	missense;lof;synonymous	0.01	0.211699590258544	0.961011733810659	0.150630390757072	-0.00027114000501347	0.00554659936898816	138	36	102	2	0
SAMSN1	Cauchy	NA	0.211699590258544	0.961011733810659	0.150630390757072	NA	NA	NA	NA	NA	NA	NA
NRIP1	missense;lof	0.01	0.671029832162378	0.46833005638228	0.469167040370813	-0.003273753352345	0.00451428378865247	522	126	396	8	0
NRIP1	missense;lof;synonymous	0.01	0.529359621135555	0.345412829772371	0.542454004772905	-0.00389883970412774	0.0041322094298678	645	154	491	9	0
NRIP1	Cauchy	NA	0.605501030043419	0.403206540176561	0.505888219796687	NA	NA	NA	NA	NA	NA	NA
USP25	missense;lof	0.01	0.537770449720389	0.384808555451053	0.703168589412696	-0.00937170516014605	0.0107835956393973	81	17	64	3	0
USP25	missense;lof;synonymous	0.01	0.0557630645398459	0.0332240014310292	0.192599488012268	-0.0134553006924355	0.006318923790939	269	53	216	6	0
USP25	Cauchy	NA	0.110452691360823	0.0632987503075761	0.392259163474705	NA	NA	NA	NA	NA	NA	NA
CXADR	missense;lof	0.01	0.43163	0.43163	0.43163	0.00816267438068057	0.0103797278230809	120	34	86	1	0
CXADR	missense;lof;synonymous	0.01	0.43163	0.43163	0.43163	0.00816267438068057	0.0103797278230809	120	34	86	1	0
CXADR	Cauchy	NA	0.43163	0.43163	0.43163	NA	NA	NA	NA	NA	NA	NA
CHODL	missense;lof	0.01	0.0362159800000001	0.0362159800000001	0.0362159800000001	-0.0224340879818939	0.0107109812375099	106	17	89	1	0
CHODL	missense;lof;synonymous	0.01	0.0362159800000001	0.0362159800000001	0.0362159800000001	-0.0224340879818939	0.0107109812375099	106	17	89	1	0
CHODL	Cauchy	NA	0.0362159800000001	0.0362159800000001	0.0362159800000001	NA	NA	NA	NA	NA	NA	NA
TMPRSS15	missense;lof	0.01	0.383605662776955	0.261533465615501	0.685197019409299	0.00775477132910746	0.00690679595900491	232	67	165	3	0
