Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
GPT,ENSG00000167701,5.06874101810963e-265,0,1.1821720862647e-217,-0.0635832949784837,pLoF,8144499144,8,144499144,
ANO5,ENSG00000171714,2.87082286447986e-17,4.10117552068552e-18,7.814633890117e-15,0.00633943802003491,pLoF,11022193090,11,22193090,
ABCB4,ENSG00000005471,4.60155254829748e-13,6.71407308279996e-13,0.00000615332517206468,0.0255298423138795,pLoF,7087398435,7,87398435,
APOB,ENSG00000084674,2.20864558068461e-12,3.15520797240659e-13,0.00612532961166135,0.00868257877321354,pLoF,2021001656,2,21001656,
CEACAM1,ENSG00000079385,3.82681442090416e-10,3.80781561793161e-10,8.89852091490826e-10,0.0058643517115195,pLoF,19042509007,19,42509007,
TNFRSF10B,ENSG00000120889,1.43688304587997e-8,5.79900409913847e-8,1.94845370948826e-8,-0.00614755455722636,pLoF,8023015602,8,23015602,
C4B,ENSG00000224389,0.0000019089756497781,0.00000173235657208171,0.00000166810863388989,0.00260109962839108,pLoF,6032009810,6,32009810,
CGN,ENSG00000143375,0.00000298426709099964,0.00000407772984001298,0.000101929585112015,0.00445498099767961,pLoF,1151518440,1,151518440,
ZNF471,ENSG00000196263,0.0000038129503976414,0.60723736468816,0.00000144071206154006,0.0055381773260571,pLoF,19056507761,19,56507761,
PDE3B,ENSG00000152270,0.00000908162970725268,0.00000869276283510523,0.000285217501222901,-0.00512193841261064,pLoF,11014643928,11,14643928,
G6PC,ENSG00000131482,0.00000924278549341295,0.0000140030264553781,0.0000229261883926135,-0.00613145527799369,pLoF,17042900826,17,42900826,
GJB2,ENSG00000165474,0.0000102343957395501,0.000156170458530447,0.00000941874730253645,-0.00205852505236925,pLoF,13020188859,13,20188859,
GPAM,ENSG00000119927,0.0000118222299307913,0.00000374363334343375,0.0672994670303781,-0.0141741194641515,pLoF,10112148235,10,112148235,
RNF213,ENSG00000173821,0.000027551152501526,0.0000129026350114136,0.00749749995342874,-0.00482910621082566,pLoF,17080263631,17,80263631,
NADK2,ENSG00000152620,0.0000401617734309134,0.0000168286697135311,0.0348830121541954,0.0140045415045007,pLoF,5036195046,5,36195046,
MRPS27,ENSG00000113048,0.0000427408255341266,0.306499719714734,0.0000184711401924886,0.00283908424611736,pLoF,5072220850,5,72220850,
RIF1,ENSG00000080345,0.0000587347647786896,0.0000205331157067112,0.0370258267492265,0.0170423810811052,pLoF,2151410356,2,151410356,
DAGLB,ENSG00000164535,0.000065445613249504,0.0000286315299989903,0.0162606631275339,0.0108614166411882,pLoF,7006409737,7,6409737,
PGPEP1L,ENSG00000183571,0.0000658798618597967,0.000172456826080358,0.0000742246512219769,0.0140467906708462,pLoF,15098968393,15,98968393,
OXT,ENSG00000101405,0.0000818612957184106,0.075101897818131,0.0000373287167116931,0.0128893155044141,pLoF,20003071524,20,3071524,
SLC2A4,ENSG00000181856,0.0000873788314748047,0.267211047696394,0.000038632267505001,0.00501885200487338,pLoF,17007281847,17,7281847,
SCHIP1,ENSG00000151967,0.000109029829199581,0.00215724346968904,0.0000655790324455285,0.0335042411618999,pLoF,3159839864,3,159839864,
C10orf99,ENSG00000188373,0.000113760202841151,0.0000880535138281235,0.000716461196786256,-0.0579967103709547,pLoF,10084173810,10,84173810,
HR,ENSG00000168453,0.000137047812112545,0.0000498437819289599,0.0793081344029546,0.0103180267983504,pLoF,8022115640,8,22115640,
KLK5,ENSG00000167754,0.000180898047599354,0.0021442143624224,0.000144575203199548,0.0119974321924069,pLoF,19050943580,19,50943580,
HELZ2,ENSG00000130589,0.000208982132984259,0.0000913623090861293,0.187945904785591,-0.00605185673887944,pLoF,20063555505,20,63555505,
PAX1,ENSG00000125813,0.000264578240219748,0.00177122877101599,0.000234836852068154,0.00554468262206305,pLoF,20021705627,20,21705627,
ING3,ENSG00000071243,0.000268158411788399,0.180558840363263,0.000121975229256499,0.024223568502574,pLoF,7120950819,7,120950819,
AOX1,ENSG00000138356,0.000279048705120744,0.000270111233951376,0.000714567910788166,0.00312618721812837,pLoF,2200583381,2,200583381,
MTTP,ENSG00000138823,0.000309587763213326,0.000191091653971576,0.00847658768584048,0.0080947375782778,pLoF,4099559085,4,99559085,
ST7,ENSG00000004866,0.000324031529096436,0.0122352591070083,0.000210798422647263,0.0405738041120989,pLoF,7116953435,7,116953435,
NRDE2,ENSG00000119720,0.000328704779500422,0.0203146562820982,0.000190490287804601,-0.00363000961180405,pLoF,14090263228,14,90263228,
CEP85,ENSG00000130695,0.000332472203594114,0.000296173311342462,0.00208620820632399,0.00694306785241345,pLoF,1026239755,1,26239755,
PPARA,ENSG00000186951,0.000336559697368344,0.000227272348995888,0.00386926277798105,0.0171090496126121,pLoF,22046198331,22,46198331,
SPRY4,ENSG00000187678,0.000356375876764403,0.000206311551455562,0.0784178411877815,-0.0241496771607134,pLoF,5142314107,5,142314107,
SMARCD1,ENSG00000066117,0.000363635798214412,0.020842478782351,0.000151688412484363,0.0264675582062058,pLoF,12050080422,12,50080422,
HCFC1,ENSG00000172534,0.000411385837552019,,,,pLoF,23153942830,X,153942830,
NCLN,ENSG00000125912,0.000420961202130088,0.000319068677634871,0.0026325536691072,0.024642483712447,pLoF,19003185948,19,3185948,
IPO4,ENSG00000196497,0.000432033853246194,0.000645905163971561,0.0014726889166472,-0.00660418783807452,pLoF,14024175497,14,24175497,
SCNN1D,ENSG00000162572,0.000433213480772965,0.0117739832838821,0.000258408584156156,0.00304873218038748,pLoF,1001281148,1,1281148,
PTPRD,ENSG00000153707,0.000470792367487927,0.000366989388480454,0.0221724163205701,0.0152238412431805,pLoF,9008317807,9,8317807,
ATP5PD,ENSG00000167863,0.000488501283163356,0.0128441088730586,0.000326794417017884,-0.00830643679255677,pLoF,17075038830,17,75038830,
CYP4X1,ENSG00000186377,0.00053369111198609,0.0227463715472791,0.000316703793245443,0.00463763581229478,pLoF,1047023458,1,47023458,
PNLIPRP1,ENSG00000187021,0.000546902619116496,0.00212168725702266,0.000463242659421104,-0.00423917865186248,pLoF,10116591082,10,116591082,
MANSC1,ENSG00000111261,0.000565472396271693,0.000523396417911659,0.00275332501726488,-0.0129898243932935,pLoF,12012329964,12,12329964,
MICA,ENSG00000204520,0.000572101407132264,0.000541355741972338,0.000783961257951216,0.00293475787265185,pLoF,6031399933,6,31399933,
PSCA,ENSG00000167653,0.000605817662270303,0.00177190187937482,0.000581396268426682,-0.0231229039489775,pLoF,8142680432,8,142680432,
DMXL2,ENSG00000104093,0.000628320911478797,0.00591277163520598,0.00102839127705356,-0.00973263573272181,pLoF,15051448906,15,51448906,
AL672142.1,ENSG00000251184,0.000645336651389772,0.00446036510755121,0.000584633479394414,0.0285707531479836,pLoF,9128936482,9,128936482,
RPN1,ENSG00000163902,0.000662859390209491,0.0299503106431489,0.000382569334019811,0.0151309590722246,pLoF,3128620328,3,128620328,
PAGE4,ENSG00000101951,0.000694825282033532,,,,pLoF,23049830410,X,49830410,
CCDC149,ENSG00000181982,0.000715185081691327,0.000334659032150131,0.0946320161471309,0.015878545970517,pLoF,4024808302,4,24808302,
SRSF12,ENSG00000154548,0.000728956646758205,0.0300013289165028,0.000587770295822687,-0.0104152913499974,pLoF,6089098457,6,89098457,
FAM83B,ENSG00000168143,0.000744197646809663,0.000493189316966847,0.00717345142726478,-0.0103793083047771,pLoF,6054870201,6,54870201,
GNAI3,ENSG00000065135,0.000773313003125109,0.000394020483164059,0.154606465403712,-0.0174772482922527,pLoF,1109543622,1,109543622,
ATAD2B,ENSG00000119778,0.000828082760006787,0.937779258763654,0.000333686759193652,-0.000540237427189755,pLoF,2023751996,2,23751996,
SAYSD1,ENSG00000112167,0.000835676721510747,0.000780820083946532,0.0011228844416411,-0.00606981005893616,pLoF,6039105368,6,39105368,
GALNTL6,ENSG00000174473,0.000847318686023169,0.000709550355651123,0.000985211123128882,0.054854354915498,pLoF,4171814494,4,171814494,
CD101,ENSG00000134256,0.000860524470943091,0.0113925152959919,0.000542373133084806,-0.00357252557162977,pLoF,1117001812,1,117001812,
TRIM32,ENSG00000119401,0.000869624438428307,0.000402712343885336,0.032809425663462,0.0132282679483266,pLoF,9116686614,9,116686614,
ADAM29,ENSG00000168594,0.000886072568040186,0.00106090709132267,0.00123125963679294,-0.05303810195052,pLoF,4174975432,4,174975432,
SYDE2,ENSG00000097096,0.000907752446710819,0.000498858539634939,0.202200298271551,-0.00655764502558059,pLoF,1085159771,1,85159771,
ZNF728,ENSG00000269067,0.000935017267702065,0.000458373623301922,0.00792172867200669,0.0366461511023112,pLoF,19022975386,19,22975386,
ANGEL1,ENSG00000013523,0.000950887277898937,0.0220698013791846,0.000665299065583103,-0.00218732135554544,pLoF,14076789120,14,76789120,
DMXL1,ENSG00000172869,0.000956069395465997,0.000824694595263464,0.0050730716487053,0.00525579329072785,pLoF,5119071488,5,119071488,
HTR1B,ENSG00000135312,0.000960489807581899,0.00046786065572757,0.0395159582204327,0.0422479122645821,pLoF,6077462194,6,77462194,
ACBD5,ENSG00000107897,0.00101894393511526,0.0178185704802134,0.000836290612449275,0.00584408308704024,pLoF,10027197364,10,27197364,
REG3G,ENSG00000143954,0.0010211455712229,0.000718577852027114,0.00217118283867468,0.00648114124637286,pLoF,2079026028,2,79026028,
OTUD7B,ENSG00000264522,0.00102224827172037,0.000538450076523089,0.307934953765572,-0.0150975784277717,pLoF,1149933288,1,149933288,
ZNF506,ENSG00000081665,0.00102261368886569,0.0770279022804461,0.0006996277528315,-0.0103871838399104,pLoF,19019794474,19,19794474,
CCDC174,ENSG00000154781,0.00103753707765086,0.000455074747352069,0.278587690387828,-0.0128994702482031,pLoF,3014651759,3,14651759,
