CHR GENE Pval Pval_0.00 Pval_0.01 Pval_0.04 Pval_0.09 Pval_0.025 Pval_0.50 Pval_1.00
chr21 RBM11 0.857295546194888 0.772281502188863 0.776028602256504 0.785950666783081 0.799046974115127 0.83645713519125 0.865353635819905 0.666203895810849
chr21 HSPA13 0.299619861366588 0.185950924243034 0.189764403963259 0.201787854606984 0.223473524017731 0.299880934272828 0.430459686293017 0.779263167413658
chr21 SAMSN1 0.0225487174722199 0.0120015122839585 0.0124976776055581 0.0143931208124505 0.0192500868459308 0.0508514692940431 0.12893192310889 0.328904902959962
chr21 NRIP1 0.219766600034528 0.144956899857055 0.141427771671608 0.133299773489864 0.126081436568621 0.124788772923836 0.136692125935599 0.154492014477249
chr21 USP25 0.157215775060835 0.0890620442093149 0.0913363022035795 0.099093839368168 0.115052755652618 0.179719565100561 0.28485687607937 0.489470712346918
chr21 C21orf91 0.0985011638221556 0.0732758847132594 0.0725529537454969 0.0705325372689383 0.0676582778833136 0.0622222779306958 0.06141096221767 0.0709717945104515
chr21 TMPRSS15 0.103141180946265 0.158834846958885 0.147583657473792 0.119249636053134 0.0884569694755577 0.059239335808403 0.0551393417076914 0.0581742280426288
chr21 NCAM2 0.764362299339368 0.758183527952366 0.760848355599195 0.767302598426222 0.773632579502986 0.772721701645837 0.703758513424814 0.557364523567188
chr21 MRPL39 0.398945399695152 0.379719267223034 0.376421723247034 0.367060847903345 0.353318448818487 0.323326513825853 0.301447265116598 0.286415283188633
chr21 CYYR1 0.46906147187197 0.315145041284361 0.31981115533053 0.333871516130344 0.357087526908886 0.42608119414779 0.532611099031671 0.763689105876219
chr21 ADAMTS1 0.270038044204242 0.157379545065349 0.158152706457016 0.161263938968126 0.167965702168643 0.18849349765476 0.219085027085572 0.266483153454006
chr21 ADAMTS5 0.556945736990887 0.35631726167218 0.361966692162301 0.378078998803263 0.3972011643095 0.413810866318309 0.43940843840907 0.476851162572898
chr21 LTN1 0.195282969576278 0.721700717916879 0.698865779762277 0.627281400722355 0.503106813437951 0.238521869218834 0.141884322664712 0.110044350073233
chr21 RWDD2B 0.0381177275778954 0.0220955972064595 0.022391861994367 0.0235039159319056 0.0261834837112961 0.0419242931566249 0.079416114188296 0.166063333513669
chr21 USP16 0.128067809529504 0.138349348211775 0.133309394663563 0.119732559873698 0.102148746779011 0.0769785876829713 0.0712397519409254 0.0770206812409855
chr21 CCT8 0.612133576356633 0.427443965686416 0.431892438865963 0.444869607275013 0.464766121904201 0.512734045284265 0.574629440288664 0.674607757297393
chr21 BACH1 0.139070428547274 0.0852156709923125 0.0840866112381944 0.0813460834473032 0.0788687108258676 0.0823075497726394 0.0965239436876171 0.124473137133843
chr21 GRIK1 0.645320006953342 0.530452159564344 0.532049140462594 0.536147310934176 0.540067872627952 0.526411838626233 0.478027789149194 0.42719893229246
