Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
LIPI	lof	1e-04	0.624752067065516	0.624752067065516	0.624752067065516	-0.0161732950161654	0.0330656620534924	24	1	23	0	8
LIPI	lof	0.001	0.565882929288049	0.458724816562969	0.58567428386618	-0.00786731363932329	0.0106178988964788	217	13	204	1	8
LIPI	lof	0.01	0.565882929288049	0.458724816562969	0.58567428386618	-0.00786731363932329	0.0106178988964788	217	13	204	1	8
LIPI	missense;lof	1e-04	0.624752067065516	0.624752067065516	0.624752067065516	-0.0161732950161654	0.0330656620534924	24	1	23	0	8
LIPI	missense;lof	0.001	0.565882929288049	0.458724816562969	0.58567428386618	-0.00786731363932329	0.0106178988964788	217	13	204	1	8
LIPI	missense;lof	0.01	0.565882929288049	0.458724816562969	0.58567428386618	-0.00786731363932329	0.0106178988964788	217	13	204	1	8
LIPI	missense;lof;synonymous	1e-04	0.624752067065516	0.624752067065516	0.624752067065516	-0.0161732950161654	0.0330656620534924	24	1	23	0	8
LIPI	missense;lof;synonymous	0.001	0.565882929288049	0.458724816562969	0.58567428386618	-0.00786731363932329	0.0106178988964788	217	13	204	1	8
LIPI	missense;lof;synonymous	0.01	0.565882929288049	0.458724816562969	0.58567428386618	-0.00786731363932329	0.0106178988964788	217	13	204	1	8
LIPI	Cauchy	NA	0.586238848851754	0.516166658044857	0.599062106792319	NA	NA	NA	NA	NA	NA	NA
RBM11	lof	1e-04	1	0.938279289141957	0.799391886573757	-0.00104485008478241	0.0134936457749009	140	10	130	3	15
RBM11	lof	0.001	0.766562617881365	0.603825809944217	0.682751666825928	0.00392526671475165	0.0075644942817474	436	34	402	4	15
RBM11	lof	0.01	0.766562617881365	0.603825809944217	0.682751666825928	0.00392526671475165	0.0075644942817474	436	34	402	4	15
RBM11	missense;lof	1e-04	1	0.938279289141957	0.799391886573757	-0.00104485008478241	0.0134936457749009	140	10	130	3	15
RBM11	missense;lof	0.001	0.766562617881365	0.603825809944217	0.682751666825928	0.00392526671475165	0.0075644942817474	436	34	402	4	15
RBM11	missense;lof	0.01	0.766562617881365	0.603825809944217	0.682751666825928	0.00392526671475165	0.0075644942817474	436	34	402	4	15
RBM11	missense;lof;synonymous	1e-04	1	0.938279289141957	0.799391886573757	-0.00104485008478241	0.0134936457749009	140	10	130	3	15
RBM11	missense;lof;synonymous	0.001	0.766562617881365	0.603825809944217	0.682751666825928	0.00392526671475165	0.0075644942817474	436	34	402	4	15
RBM11	missense;lof;synonymous	0.01	0.766562617881365	0.603825809944217	0.682751666825928	0.00392526671475165	0.0075644942817474	436	34	402	4	15
RBM11	Cauchy	NA	1	0.847358757127201	0.731168503862711	NA	NA	NA	NA	NA	NA	NA
HSPA13	lof	1e-04	0.723238230570232	0.574698008794174	0.88469516634074	-0.0080967736296444	0.0144289963187766	123	7	116	2	31
HSPA13	lof	0.001	0.648880342583458	0.670445065454251	0.479072107306588	0.00458323529117136	0.0107704676390478	205	17	188	3	31
HSPA13	lof	0.01	0.648880342583458	0.670445065454251	0.479072107306588	0.00458323529117136	0.0107704676390478	205	17	188	3	31
HSPA13	missense;lof	1e-04	0.723238230570232	0.574698008794174	0.88469516634074	-0.0080967736296444	0.0144289963187766	123	7	116	2	31
HSPA13	missense;lof	0.001	0.648880342583458	0.670445065454251	0.479072107306588	0.00458323529117136	0.0107704676390478	205	17	188	3	31
HSPA13	missense;lof	0.01	0.648880342583458	0.670445065454251	0.479072107306588	0.00458323529117136	0.0107704676390478	205	17	188	3	31
HSPA13	missense;lof;synonymous	1e-04	0.723238230570232	0.574698008794174	0.88469516634074	-0.0080967736296444	0.0144289963187766	123	7	116	2	31
