Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
PKD2,ENSG00000118762,1.17005009458993e-7,2.76286151734695e-8,0.000731983898744848,0.0568313914572872,pLoF,4088007652,4,88007652,
COL4A4,ENSG00000081052,2.81345627572982e-7,2.22925722881406e-7,0.00000430741132539936,0.0196364889858919,pLoF,2227007222,2,227007222,
GUCY1A1,ENSG00000164116,0.0000171439252590888,0.0000089964053098246,0.0138335215210911,0.0318527270088281,pLoF,4155696796,4,155696796,
TMEM178A,ENSG00000152154,0.0000321147722575077,0.000212912620573213,0.0000534478869622657,0.0704180133207543,pLoF,2039665880,2,39665880,
APC,ENSG00000134982,0.0000376755501164672,0.0000121689719477791,0.0201069623859523,0.0432434777342766,pLoF,5112737758,5,112737758,
MON2,ENSG00000061987,0.0000467708781345388,0.0000142568789105457,0.0593932359225753,0.0286232099213204,pLoF,12062467155,12,62467155,
KCTD19,ENSG00000168676,0.0000511769310903576,0.00111091441785482,0.0000472703288300069,0.0121900948156451,pLoF,16067284435,16,67284435,
KRTAP10-8,ENSG00000187766,0.000105705939279055,0.000236665258211755,0.000103827774078136,0.0786787352715027,pLoF,21044612022,21,44612022,
SLC6A14,ENSG00000268104,0.000116151397961173,0.000101238478673715,0.000845526503683636,0.0473180867390735,pLoF,23116436638,X,116436638,
NKX3-1,ENSG00000167034,0.000132264926124503,0.0000707592035306126,0.0240811012443475,0.0651948625773871,pLoF,8023681156,8,23681156,
YBX1,ENSG00000065978,0.000137004656192374,0.0000508540702095495,0.0125058320992264,0.114163965794183,pLoF,1042682435,1,42682435,
NPHP1,ENSG00000144061,0.000184000762648129,0.000371596799752405,0.000609386273560664,0.0252263043431493,pLoF,2110123714,2,110123714,
ATF2,ENSG00000115966,0.000214793773086419,0.000149449996326712,0.0100479918664564,0.0724017965949505,pLoF,2175074488,2,175074488,
SLC6A2,ENSG00000103546,0.000221242288717449,0.00414992727882491,0.000173433834691816,0.0433849977691312,pLoF,16055656648,16,55656648,
MYO9B,ENSG00000099331,0.000234432378793059,0.000369615604838169,0.00263241812920612,0.0352065563790407,pLoF,19017073213,19,17073213,
DRAXIN,ENSG00000162490,0.000252345019716382,0.000243013206152831,0.00057939251406236,0.0179862503685388,pLoF,1011706171,1,11706171,
LRRC37A3,ENSG00000176809,0.000269987212264566,0.00663717361655081,0.000197566398549398,0.0254924434734965,pLoF,17064854480,17,64854480,
CPLX1,ENSG00000168993,0.00027319073312837,0.000182132874208207,0.00135349447576738,0.121295752936881,pLoF,4000786393,4,786393,
LEMD3,ENSG00000174106,0.000296061371045098,0.000123051036922117,0.0325965397034412,0.0611348083495798,pLoF,12065169503,12,65169503,
ZNF549,ENSG00000121406,0.000335250790037378,0.000252118032992188,0.0107340540101699,0.0619413966077241,pLoF,19057527454,19,57527454,
TENM4,ENSG00000149256,0.000336302486144691,0.000261574126790176,0.0725624246701717,0.0226912456576268,pLoF,11078657934,11,78657934,
AKNA,ENSG00000106948,0.000396370173341709,0.000157337165544114,0.158761321898969,0.0260298223200081,pLoF,9114329897,9,114329897,
DGKH,ENSG00000102780,0.000471288856590535,0.00678254506872322,0.000375059003891121,0.0175162138682297,pLoF,13042048626,13,42048626,
NDST1,ENSG00000070614,0.000531747645724279,0.00187007973200837,0.0011380888415049,0.0318223443339323,pLoF,5150521182,5,150521182,
INAFM1,ENSG00000257704,0.000532228234212062,0.0589189303853851,0.000319286894996162,0.0144487237806396,pLoF,19047270334,19,47270334,
SULT1A1,ENSG00000196502,0.000559392488307831,0.00477976862169105,0.000462738189447198,0.0157806172810492,pLoF,16028605672,16,28605672,
LIPG,ENSG00000101670,0.000589217748002024,0.000281284285872818,0.0104954618214705,0.0320262799375903,pLoF,18049561609,18,49561609,
BRAF,ENSG00000157764,0.000593655838428409,0.000308994791965778,0.00831582931281649,0.0810127459348285,pLoF,7140719288,7,140719288,
KRTAP9-2,ENSG00000239886,0.000608944744831863,0.000540077030209973,0.00690854170312472,-0.0186013842934501,pLoF,17041226498,17,41226498,
TRPM4,ENSG00000130529,0.00063092889594385,0.000473712293588502,0.00219218523453746,0.00602142262609304,pLoF,19049153211,19,49153211,
AFG3L2,ENSG00000141385,0.000667326633004617,0.0481046984979112,0.000412505105803151,0.0116450628735051,pLoF,18012324708,18,12324708,
ADGRE3,ENSG00000131355,0.000690068659628396,0.578501592844649,0.000315901601955715,-0.00192127137982268,pLoF,19014619406,19,14619406,
CCNB2,ENSG00000157456,0.000716649858080176,0.000407530876458395,0.0594419311083562,-0.0287909938223399,pLoF,15059105188,15,59105188,
SDHB,ENSG00000117118,0.000760325902620429,0.00143782233841505,0.000668346476056958,0.0414789647791884,pLoF,1017018851,1,17018851,
COL24A1,ENSG00000171502,0.000776945518061511,0.171889286316447,0.000388263193466187,0.00657258497197263,pLoF,1085730465,1,85730465,
TRIM67,ENSG00000119283,0.000812909412072682,0.000348349417860105,0.0224673828533014,0.0284260369523464,pLoF,1231162970,1,231162970,
PPFIBP1,ENSG00000110841,0.00087948212466471,0.000830879889779812,0.00558049258152193,-0.0205133254619354,pLoF,12027592572,12,27592572,
GPR139,ENSG00000180269,0.000914451988781817,0.00192287039137073,0.00131140218006531,0.0642139734347452,pLoF,16020031684,16,20031684,
ACTBL2,ENSG00000169067,0.0009212173379477,0.102240478314788,0.000569141069896251,0.00748207003027959,pLoF,5057481466,5,57481466,
TRPM7,ENSG00000092439,0.000937590751559636,0.00154890546506214,0.005117947388948,0.0183653986488267,pLoF,15050561578,15,50561578,
HRH4,ENSG00000134489,0.00094693130301915,0.00450448461280151,0.00081289455869249,0.0258901449052711,pLoF,18024460689,18,24460689,
RANBP2,ENSG00000153201,0.000966761678980022,0.000476619633778652,0.0536897794949167,0.0316066748463894,pLoF,2108719454,2,108719454,
PDE3B,ENSG00000152270,0.00107852051796176,0.000930940624858767,0.00370620875908723,-0.0100224509760826,pLoF,11014643928,11,14643928,
ADNP,ENSG00000101126,0.00123885966251835,0.00361553417865912,0.00115843127358217,0.0413040822779499,pLoF,20050890832,20,50890832,
RELA,ENSG00000173039,0.00126541483965237,0.00184905850636219,0.00185899847153081,0.0706259395984915,pLoF,11065649209,11,65649209,
POU2F1,ENSG00000143190,0.001324919837289,0.0423500591601441,0.000854678786945229,0.0260026628928856,pLoF,1167220826,1,167220826,
MBTD1,ENSG00000011258,0.00133062704976172,0.00082681518851091,0.0149086318101825,0.0492209113813195,pLoF,17051180560,17,51180560,
C2CD2,ENSG00000157617,0.0014001743509392,0.00233767583118638,0.00174845570261883,-0.020249004225939,pLoF,21041889081,21,41889081,
KAT5,ENSG00000172977,0.00148209034753166,0.000830142941639189,0.0192763670525113,0.0507958499420805,pLoF,11065712168,11,65712168,
CTSL,ENSG00000135047,0.00150611794744504,0.000982602167098778,0.0283469563881595,0.0420597652285344,pLoF,9087727520,9,87727520,
LPIN2,ENSG00000101577,0.00154718581474611,0.000724157631738942,0.0506491912461479,0.0233921688197732,pLoF,18002912979,18,2912979,
TSEN34,ENSG00000170892,0.00154926091217922,0.0474094346630386,0.0010493138377079,0.0210507646648322,pLoF,19054187050,19,54187050,
PDE6C,ENSG00000095464,0.0016392472360689,0.00135331224707946,0.00792727584132702,0.0303273225331382,pLoF,10093612616,10,93612616,
UACA,ENSG00000137831,0.00167126837716558,0.000782050992056638,0.0858820427998681,0.0133676149404468,pLoF,15070657000,15,70657000,
TCERG1L,ENSG00000176769,0.00168144995896846,0.000953227002516654,0.0167907473205754,0.0315893832799325,pLoF,10131093063,10,131093063,
PAK2,ENSG00000180370,0.00174947764158462,0.000750122725612368,0.0413675384080696,0.0887308812355012,pLoF,3196782619,3,196782619,
MEP1B,ENSG00000141434,0.00176135015462098,0.0265824185462306,0.00101739366535081,0.00859654593721035,pLoF,18032190019,18,32190019,
LYNX1,ENSG00000180155,0.00184038081588789,0.0143305880014971,0.00164209699861162,0.0702829058418302,pLoF,8142769686,8,142769686,
BTBD16,ENSG00000138152,0.00200024511142671,0.00126746207240513,0.0540765317857371,-0.0132285190935488,pLoF,10122275005,10,122275005,
PANK1,ENSG00000152782,0.00202040025865557,0.000949619480001496,0.115493909547592,-0.0282459748829245,pLoF,10089584389,10,89584389,
MON1B,ENSG00000103111,0.0020288521815568,0.00161851706602578,0.00815464334270577,0.0432527537980924,pLoF,16077191138,16,77191138,
AC092073.1,ENSG00000266953,0.00204495801677951,0.00135219145625631,0.0372439073484701,0.0316029008922357,pLoF,19034393212,19,34393212,
CCDC73,ENSG00000186714,0.00208094318533847,0.156786729416409,0.00136197633991508,0.00599950417797187,pLoF,11032600568,11,32600568,
ACTR1B,ENSG00000115073,0.00216241440692755,0.00794748551770641,0.0016509744703429,0.0167321458133045,pLoF,2097656790,2,97656790,
DPEP2,ENSG00000167261,0.00226770522984399,0.00213327343862335,0.00250879741606402,-0.00596807776181066,pLoF,16067987382,16,67987382,
GREB1,ENSG00000196208,0.00227353151859422,0.00176278658500895,0.0152693000597403,0.0209981164886543,pLoF,2011556551,2,11556551,
RCN2,ENSG00000117906,0.00236720651821254,0.00401970195282031,0.00225814093526577,-0.00681457760200628,pLoF,15076931750,15,76931750,
RB1CC1,ENSG00000023287,0.00239685420543345,0.00121041639819741,0.0300088647340985,0.036715129166198,pLoF,8052623743,8,52623743,
SNORC,ENSG00000182600,0.00250303848170919,0.0103832021224132,0.00188187274609197,0.0386856659980645,pLoF,2232870267,2,232870267,
CPA1,ENSG00000091704,0.00262141796320947,0.032869277151746,0.00233533730795366,0.0106936603682774,pLoF,7130380464,7,130380464,
ZCCHC3,ENSG00000247315,0.00264654557587074,0.019585269560311,0.00144853340435236,0.0255345237391146,pLoF,20000297485,20,297485,
AHI1,ENSG00000135541,0.00268481873274595,0.00127823648749437,0.148530215336527,0.0106943391683532,pLoF,6135285565,6,135285565,
HLCS,ENSG00000159267,0.00276998595694866,0.0551631408402345,0.00234116499652648,0.00939844355746948,pLoF,21036744614,21,36744614,
SOS2,ENSG00000100485,0.00278781757642743,0.0367356461238644,0.00174114494726751,0.0217622784663697,pLoF,14050112130,14,50112130,
VIPAS39,ENSG00000151445,0.00280600457380775,0.00157229203380171,0.202767931202902,-0.0271562313237653,pLoF,14077422660,14,77422660,
MYLPF,ENSG00000180209,0.0028452960677593,0.00175107492027315,0.00568629196469916,0.0617282442510577,pLoF,16030369802,16,30369802,
PSKH1,ENSG00000159792,0.0029001708925982,0.201307476563053,0.00223729499431324,0.02470804454246,pLoF,16067908687,16,67908687,
TMOD3,ENSG00000138594,0.00290316881324337,0.00385047992988574,0.00444200058523259,0.0522537472768509,pLoF,15051862797,15,51862797,
MYC,ENSG00000136997,0.00293121641823979,0.00152059913812475,0.037144726187854,0.128205568661279,pLoF,8127736503,8,127736503,
GASK1A,ENSG00000144649,0.00298547756429025,,,,pLoF,3042979520,3,42979520,
PLPP1,ENSG00000067113,0.00302755041264502,0.496073865491124,0.0016145786269296,0.00736857260124502,pLoF,5055422823,5,55422823,
USP35,ENSG00000118369,0.00306458444968494,0.154170562145082,0.00157819372839629,-0.00500457103117321,pLoF,11078186624,11,78186624,
CYP2C8,ENSG00000138115,0.00307752893242619,0.00416303093938686,0.0029758237430686,0.0136853066413838,pLoF,10095037067,10,95037067,
CASC1,ENSG00000118307,0.00307879533673283,0.00159389959271539,0.247333654981275,0.0143826216187865,pLoF,12025103801,12,25103801,
SEPHS1,ENSG00000086475,0.00309121305266702,0.0201427532741025,0.00209360441393902,0.0659521984320888,pLoF,10013319065,10,13319065,
