Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
LIPI	lof	0.001	0.5359641	0.5359641	0.5359641	-0.00696282660078414	0.0112498252841971	193	12	181	1	0
LIPI	lof	0.01	0.5359641	0.5359641	0.5359641	-0.00696282660078414	0.0112498252841971	193	12	181	1	0
LIPI	missense;lof	1e-04	0.742490169517195	0.565416245678518	0.86667711603328	0.00725833565064682	0.0126272494244559	165	13	152	4	0
LIPI	missense;lof	0.001	0.662970772329296	0.467956692150137	0.913700754548144	-0.00423645918697671	0.00583688962950947	714	48	666	8	0
LIPI	missense;lof	0.01	0.0738444990418786	0.219209880292065	0.0489419904616478	0.00426566386148741	0.00347188132276621	2130	172	1958	9	0
LIPI	missense;lof;synonymous	1e-04	0.344459660061246	0.219659540530233	0.569187355470531	0.0135688127847877	0.011054617655639	213	19	194	5	0
LIPI	missense;lof;synonymous	0.001	0.748049029868712	0.542708244619717	0.851468761052006	-0.00321560670932817	0.00528254754116088	871	60	811	10	0
LIPI	missense;lof;synonymous	0.01	0.0755363675886885	0.224513325709787	0.0485843641924303	0.00406004057595671	0.00334265897808413	2287	184	2103	11	0
LIPI	Cauchy	NA	0.290918099197281	0.38123877424511	0.331620533972104	NA	NA	NA	NA	NA	NA	NA
RBM11	lof	1e-04	0.788289067774056	0.817373179273895	0.659229686573822	0.0038459075792544	0.0166543681121075	89	7	82	2	0
RBM11	lof	0.001	0.618505934928239	0.47284207933032	0.577474268805891	0.00581996067538382	0.00810734753904502	385	31	354	3	0
RBM11	lof	0.01	0.618505934928239	0.47284207933032	0.577474268805891	0.00581996067538382	0.00810734753904502	385	31	354	3	0
RBM11	missense;lof	1e-04	0.243716555955408	0.141507843983654	0.798736670928226	-0.0106448385589447	0.00724040621995207	453	26	427	12	0
RBM11	missense;lof	0.001	0.845791994519695	0.648256433670406	0.821425642052665	-0.00243023212814398	0.00532728672759934	849	60	789	14	0
RBM11	missense;lof	0.01	0.119593746676807	0.33750511845922	0.0731923243803277	0.00158033654210194	0.00164771755255493	11032	831	10201	17	0
RBM11	missense;lof;synonymous	1e-04	0.0624216969017647	0.0326983791686843	0.370382026615192	-0.0131978559415867	0.00617944447637021	622	33	589	16	0
RBM11	missense;lof;synonymous	0.001	0.441296945228964	0.26752083857005	0.565634194025523	-0.00538417254080086	0.0048558997997371	1018	67	951	18	0
RBM11	missense;lof;synonymous	0.01	0.108879196260611	0.939467967863834	0.0637313113925029	9.70342013487622e-05	0.00127779857178859	13618	995	12623	22	0
RBM11	Cauchy	NA	0.275787455018674	0.30843477650997	0.327403266980793	NA	NA	NA	NA	NA	NA	NA
HSPA13	lof	1e-04	0.565944	0.565944	0.565944	-0.0119665016109966	0.0208462863845084	60	3	57	1	0
HSPA13	lof	0.001	0.427420100489172	0.513632367481057	0.316236446648748	0.00837443041957231	0.0128207749689967	142	13	129	2	0
HSPA13	lof	0.01	0.427420100489172	0.513632367481057	0.316236446648748	0.00837443041957231	0.0128207749689967	142	13	129	2	0
HSPA13	missense;lof	1e-04	1	0.946868901770649	0.830813886721442	-0.000421904067330051	0.00633116512798008	650	47	603	17	0
HSPA13	missense;lof	0.001	0.878687321827547	0.95583785061851	0.682546088984374	0.000249963080583935	0.00451381547651266	1284	93	1191	21	0
HSPA13	missense;lof	0.01	1	0.853578655657403	0.864781845110847	-0.000554141676202772	0.0030025946911445	2918	209	2709	22	0
HSPA13	missense;lof;synonymous	1e-04	1	0.917660526566068	0.889216565666882	0.000608419628086989	0.00588521245881768	725	54	671	19	0
HSPA13	missense;lof;synonymous	0.001	0.912604122530489	0.897036533034161	0.734901988218994	-0.000522879991988926	0.0040406215313575	1521	110	1411	24	0
HSPA13	missense;lof;synonymous	0.01	0.894397687034666	0.759452158863005	0.88557020987265	-0.000876905401810924	0.00286382951849166	3155	226	2929	25	0
HSPA13	Cauchy	NA	1	0.882365289687455	0.763398521998524	NA	NA	NA	NA	NA	NA	NA
SAMSN1	lof	1e-04	0.4467507	0.4467507	0.4467507	0.0168963039614299	0.0222073390701174	46	5	41	1	0
SAMSN1	lof	0.001	1	0.930293072415906	0.825610105647115	0.000890873744129439	0.0101841945503878	249	18	231	2	0
SAMSN1	lof	0.01	1	0.930293072415906	0.825610105647115	0.000890873744129439	0.0101841945503878	249	18	231	2	0
