Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
LIPI	lof	0.01	0.1979383	0.1979383	0.1979383	-0.0160511544022956	0.0124674228286902	126	15	111	1	0
LIPI	missense;lof	0.01	0.1979383	0.1979383	0.1979383	-0.0160511544022956	0.0124674228286902	126	15	111	1	0
LIPI	missense;lof;synonymous	0.01	0.1979383	0.1979383	0.1979383	-0.0160511544022956	0.0124674228286902	126	15	111	1	0
LIPI	Cauchy	NA	0.1979383	0.1979383	0.1979383	NA	NA	NA	NA	NA	NA	NA
RBM11	missense;lof;synonymous	0.01	0.267469	0.267469	0.267469	-0.0214900326901657	0.0193794196697289	27	2	25	1	0
RBM11	Cauchy	NA	0.267469	0.267469	0.267469	NA	NA	NA	NA	NA	NA	NA
HSPA13	missense;lof	0.01	0.6410917	0.6410917	0.6410917	0.00851150450468009	0.0182582542709505	39	8	31	1	0
HSPA13	missense;lof;synonymous	0.01	0.320100594365513	0.390585866243692	0.213545794692978	0.00770592014753331	0.00897544917616019	197	39	158	3	0
HSPA13	Cauchy	NA	0.474681699553653	0.518570708926669	0.380917195810816	NA	NA	NA	NA	NA	NA	NA
SAMSN1	missense;lof	0.01	0.196554472617649	0.128910009741429	0.342901895909154	-0.0138317109193573	0.00910931336090611	233	29	204	5	0
SAMSN1	missense;lof;synonymous	0.01	0.196554472617649	0.128910009741429	0.342901895909154	-0.0138317109193573	0.00910931336090611	233	29	204	5	0
SAMSN1	Cauchy	NA	0.196554472617649	0.128910009741429	0.342901895909154	NA	NA	NA	NA	NA	NA	NA
NRIP1	missense;lof	0.01	0.103448315659219	0.112571877307091	0.0624057152349575	0.0106390693748986	0.00670499216650851	323	66	257	6	0
NRIP1	missense;lof;synonymous	0.01	0.00029541293035007	0.00043738490216727	0.000484384711403107	0.0197423215560789	0.00561430127913941	536	123	413	10	0
NRIP1	Cauchy	NA	0.000589202453576299	0.00087152432513915	0.000961400810835511	NA	NA	NA	NA	NA	NA	NA
USP25	missense;lof	0.01	0.655220646286275	0.467700530555208	0.667621877860282	0.00484108454944024	0.00666608983799391	343	63	280	5	0
USP25	missense;lof;synonymous	0.01	0.839410166137112	0.839151539754186	0.655006314372332	0.00119310841123854	0.00587799287332972	449	77	372	6	0
USP25	Cauchy	NA	0.774979681368547	0.724777234902449	0.661383506067763	NA	NA	NA	NA	NA	NA	NA
CXADR	missense;lof;synonymous	0.01	0.496671192548007	0.496671192548007	0.496671192548007	0.00793006995316594	0.0116663848409993	20	6	14	1	0
CXADR	Cauchy	NA	0.496671192548007	0.496671192548007	0.496671192548007	NA	NA	NA	NA	NA	NA	NA
C21orf91	missense;lof;synonymous	0.01	0.8451801	0.8451801	0.8451801	-0.00242333921236304	0.0124100769492266	115	19	96	1	0
C21orf91	Cauchy	NA	0.8451801	0.8451801	0.8451801	NA	NA	NA	NA	NA	NA	NA
TMPRSS15	missense;lof	0.01	0.0797492402321619	0.0493990747654974	0.155905921176524	0.0124718607428596	0.00634657974152946	521	106	415	7	0
TMPRSS15	missense;lof;synonymous	0.01	0.105096043633558	0.0645079002728042	0.184410313234818	0.0112063360626196	0.00606189189142939	556	112	444	8	0
TMPRSS15	Cauchy	NA	0.0907321517032463	0.0559618034185119	0.169078871938191	NA	NA	NA	NA	NA	NA	NA
NCAM2	missense;lof	0.01	0.443038087699112	0.32959678907852	0.514329801003289	-0.0138960363102558	0.0142534214574068	65	8	57	2	0
NCAM2	missense;lof;synonymous	0.01	0.657397768955625	0.476598054543011	0.726082552415246	-0.00611516115064728	0.00859130633526815	215	32	183	5	0
NCAM2	Cauchy	NA	0.556422004593663	0.397570030415542	0.635263490064516	NA	NA	NA	NA	NA	NA	NA
MRPL39	missense;lof	0.01	0.579924771008011	0.411762843112046	0.786608555421266	0.00717141132320285	0.00873714897722494	186	36	150	4	0
MRPL39	missense;lof;synonymous	0.01	0.589475146039323	0.431761234916091	0.788975466408349	0.00721149314211316	0.00917281095098989	269	52	217	5	0
MRPL39	Cauchy	NA	0.584719486259124	0.421683188528362	0.787797602897061	NA	NA	NA	NA	NA	NA	NA
GABPA	missense;lof;synonymous	0.01	0.327259	0.327259	0.327259	-0.012805771344755	0.0130717844095499	95	13	82	1	0
GABPA	Cauchy	NA	0.327259	0.327259	0.327259	NA	NA	NA	NA	NA	NA	NA
APP	missense;lof	0.01	0.734964945898705	0.60849248626845	0.913612460151202	-0.00610163275543755	0.0119119814086912	110	16	94	2	0
APP	missense;lof;synonymous	0.01	0.860863297861576	0.835872924761949	0.708481759744782	-0.00148043966764076	0.00714582952963566	473	75	398	6	0
APP	Cauchy	NA	0.81524796634126	0.759200588021913	0.863152478414223	NA	NA	NA	NA	NA	NA	NA
CYYR1	lof	0.01	0.8279064	0.8279064	0.8279064	0.00437877010480404	0.0201426983272816	31	6	25	1	0
CYYR1	missense;lof	0.01	0.808799724290369	0.652545382316838	0.797494506299851	0.00472007057392194	0.0104837124387302	125	23	102	3	0
CYYR1	missense;lof;synonymous	0.01	0.615776921300786	0.66668650866844	0.437314063096141	-0.00396266383300255	0.00920051939768439	161	25	136	4	0
CYYR1	Cauchy	NA	0.774708860107038	0.736909983761211	0.74016565699745	NA	NA	NA	NA	NA	NA	NA
ADAMTS1	missense;lof	0.01	0.145276300192363	0.321521701836069	0.0881918831947414	-0.00807404255255228	0.00814461015760791	219	32	187	4	0
ADAMTS1	missense;lof;synonymous	0.01	0.169437740022312	0.662596246694371	0.0977352895831858	-0.00254612780188345	0.0058353062569326	425	69	356	8	0
ADAMTS1	Cauchy	NA	0.156505548418638	0.489259614644535	0.0927256288933868	NA	NA	NA	NA	NA	NA	NA
ADAMTS5	missense;lof	0.01	0.284169889295769	0.187591022767155	0.411060853491634	0.00655907830721087	0.00497752448429877	95	27	68	3	0
ADAMTS5	missense;lof;synonymous	0.01	0.0157355128183617	0.00873002507303866	0.0504012061994414	0.0169919768366682	0.00647943001447898	337	74	263	8	0
ADAMTS5	Cauchy	NA	0.0301987387866214	0.0167605813508058	0.094337577155752	NA	NA	NA	NA	NA	NA	NA
N6AMT1	missense;lof	0.01	0.148839400000002	0.148839400000002	0.148839400000002	-0.0224821043505158	0.0155731736255956	61	6	55	1	0
N6AMT1	missense;lof;synonymous	0.01	0.148839400000002	0.148839400000002	0.148839400000002	-0.0224821043505158	0.0155731736255956	61	6	55	1	0
N6AMT1	Cauchy	NA	0.148839400000002	0.148839400000002	0.148839400000002	NA	NA	NA	NA	NA	NA	NA
LTN1	missense;lof	0.01	0.0811917791075818	0.0535762351555029	0.0962504724155421	0.0188744908661374	0.00977827730865285	154	36	118	2	0
LTN1	missense;lof;synonymous	0.01	0.0473675042988452	0.0269606354497639	0.143722946718846	0.0165098819506387	0.00746348580593148	246	56	190	5	0
LTN1	Cauchy	NA	0.0598826722140141	0.0358891713360034	0.115499321195408	NA	NA	NA	NA	NA	NA	NA
RWDD2B	missense;lof	0.01	0.240234954446048	0.156889332580634	0.448389548515269	-0.0122297313030125	0.00863918722199469	205	27	178	3	0
RWDD2B	missense;lof;synonymous	0.01	0.00637178906130831	0.00342269619851998	0.0196499022545849	-0.0193261403583276	0.00660275530960953	358	39	319	5	0
RWDD2B	Cauchy	NA	0.0124732277140005	0.00671029618243313	0.0387631709654772	NA	NA	NA	NA	NA	NA	NA
USP16	missense;lof	0.01	0.0492921493655685	0.0325799671426796	0.0944269967017382	0.024123469140129	0.0112873033222782	182	43	139	3	0
USP16	missense;lof;synonymous	0.01	0.0492921493655685	0.0325799671426796	0.0944269967017382	0.024123469140129	0.0112873033222782	182	43	139	3	0
USP16	Cauchy	NA	0.0492921493655685	0.0325799671426796	0.0944269967017382	NA	NA	NA	NA	NA	NA	NA
CCT8	missense;lof;synonymous	0.01	0.1449072	0.1449072	0.1449072	-0.0191955113127131	0.0131678293016864	96	11	85	1	0
CCT8	Cauchy	NA	0.1449072	0.1449072	0.1449072	NA	NA	NA	NA	NA	NA	NA
MAP3K7CL	missense;lof	0.01	0.5054297	0.5054297	0.5054297	-0.00828419108540517	0.012439268850127	117	17	100	1	0
MAP3K7CL	missense;lof;synonymous	0.01	0.5054297	0.5054297	0.5054297	-0.00828419108540517	0.012439268850127	117	17	100	1	0
MAP3K7CL	Cauchy	NA	0.5054297	0.5054297	0.5054297	NA	NA	NA	NA	NA	NA	NA
BACH1	missense;lof	0.01	0.296817882222571	0.214002666879811	0.326716868989179	0.0175019770820403	0.0140845771808766	70	15	55	2	0
BACH1	missense;lof;synonymous	0.01	0.179522241996985	0.886638800039728	0.10802336155042	-0.00102020270342199	0.00715637458147702	270	44	226	5	0
BACH1	Cauchy	NA	0.226266713055758	0.697787132966167	0.167707800839933	NA	NA	NA	NA	NA	NA	NA
GRIK1	missense;lof	0.01	0.675890554002703	0.593432121209486	0.50994613563739	0.00568778191733729	0.0106538891544885	123	22	101	3	0
GRIK1	missense;lof;synonymous	0.01	0.146904782926629	0.0839306506571985	0.241363454600597	0.0113601863374784	0.00657296005174891	319	64	255	7	0
GRIK1	Cauchy	NA	0.306236005674753	0.169172219077603	0.349307764228782	NA	NA	NA	NA	NA	NA	NA
CLDN17	missense;lof	0.01	0.5084008	0.5084008	0.5084008	-0.00999950021729416	0.0151202915721475	65	9	56	1	0
CLDN17	missense;lof;synonymous	0.01	0.856525950164081	0.793451668583541	0.740927224318153	-0.00297955248211272	0.0113796741304054	112	18	94	2	0
CLDN17	Cauchy	NA	0.757205911353421	0.688434476734539	0.643864351069587	NA	NA	NA	NA	NA	NA	NA
KRTAP24-1	missense;lof	0.01	0.2000553	0.2000553	0.2000553	-0.0252935018006665	0.019739050757746	33	3	30	1	0
KRTAP24-1	missense;lof;synonymous	0.01	0.184630200356903	0.114396877114227	0.331688322519336	-0.0150025302416886	0.00950288124998496	156	19	137	4	0
KRTAP24-1	Cauchy	NA	0.192071976211996	0.146397476070445	0.253203715744982	NA	NA	NA	NA	NA	NA	NA
KRTAP25-1	missense;lof	0.01	0.6623194	0.6623194	0.6623194	-0.00708903550588397	0.0162327049223918	57	8	49	1	0
KRTAP25-1	missense;lof;synonymous	0.01	0.6623194	0.6623194	0.6623194	-0.00708903550588397	0.0162327049223918	57	8	49	1	0
KRTAP25-1	Cauchy	NA	0.6623194	0.6623194	0.6623194	NA	NA	NA	NA	NA	NA	NA
KRTAP26-1	missense;lof	0.01	0.256864722114997	0.181750063062888	0.385076382931908	0.0197483748401535	0.0147885148425133	60	14	46	2	0
KRTAP26-1	missense;lof;synonymous	0.01	0.256864722114997	0.181750063062888	0.385076382931908	0.0197483748401535	0.0147885148425133	60	14	46	2	0
KRTAP26-1	Cauchy	NA	0.256864722114997	0.181750063062888	0.385076382931908	NA	NA	NA	NA	NA	NA	NA
KRTAP27-1	missense;lof	0.01	0.817536671001003	0.714063490085115	0.900981723048855	0.0040032247639656	0.0109257066953162	145	26	119	2	0
KRTAP27-1	missense;lof;synonymous	0.01	0.817536671001003	0.714063490085115	0.900981723048855	0.0040032247639656	0.0109257066953162	145	26	119	2	0
KRTAP27-1	Cauchy	NA	0.817536671001003	0.714063490085115	0.900981723048855	NA	NA	NA	NA	NA	NA	NA
KRTAP23-1	missense;lof	0.01	0.7915621	0.7915621	0.7915621	-0.00388505232430699	0.0147003663752833	71	11	60	1	0
KRTAP23-1	missense;lof;synonymous	0.01	0.7915621	0.7915621	0.7915621	-0.00388505232430699	0.0147003663752833	71	11	60	1	0
KRTAP23-1	Cauchy	NA	0.7915621	0.7915621	0.7915621	NA	NA	NA	NA	NA	NA	NA
KRTAP13-2	missense;lof	0.01	0.315099699874824	0.227790822322299	0.444267586103911	-0.0148824235394851	0.0123396103229097	91	11	80	2	0
KRTAP13-2	missense;lof;synonymous	0.01	0.324408085855848	0.217826988670964	0.613123406891073	-0.0129019496323694	0.0104695835570211	127	16	111	3	0
KRTAP13-2	Cauchy	NA	0.319710625967821	0.222716313144544	0.530818583318763	NA	NA	NA	NA	NA	NA	NA
KRTAP13-1	missense;lof;synonymous	0.01	0.6079374	0.6079374	0.6079374	-0.00916438619200606	0.0178636075883772	43	6	37	1	0
KRTAP13-1	Cauchy	NA	0.6079374	0.6079374	0.6079374	NA	NA	NA	NA	NA	NA	NA
KRTAP13-4	missense;lof	0.01	0.797331747003031	0.679277636239386	0.786036210766307	-0.00455524271447415	0.0110176637171388	127	20	107	2	0
KRTAP13-4	missense;lof;synonymous	0.01	1	0.95854100451841	0.840009540200356	0.000451704632542633	0.00868920933828024	247	43	204	3	0
KRTAP13-4	Cauchy	NA	1	0.924432740571229	0.816475653654758	NA	NA	NA	NA	NA	NA	NA
KRTAP15-1	missense;lof	0.01	1	0.968140145113356	1	0.000441173947508646	0.0110456344936565	158	27	131	3	0
KRTAP15-1	missense;lof;synonymous	0.01	0.578377336024557	0.411807199967666	0.539521817218551	0.00710567401453959	0.00865788046309346	202	39	163	4	0
KRTAP15-1	Cauchy	NA	1	0.93510154296845	1	NA	NA	NA	NA	NA	NA	NA
KRTAP19-1	missense;lof	0.01	0.7674775	0.7674775	0.7674775	-0.00546068958509642	0.018468488901003	39	6	33	1	0
KRTAP19-1	missense;lof;synonymous	0.01	0.7674775	0.7674775	0.7674775	-0.00546068958509642	0.018468488901003	39	6	33	1	0
KRTAP19-1	Cauchy	NA	0.7674775	0.7674775	0.7674775	NA	NA	NA	NA	NA	NA	NA
KRTAP19-4	lof	0.01	0.9833663	0.9833663	0.9833663	-0.000376173490399808	0.0180429656472538	42	7	35	1	0
KRTAP19-4	missense;lof	0.01	1	0.879067373546183	0.939786817866072	-0.00141337933048749	0.00928928389478515	193	31	162	3	0
KRTAP19-4	missense;lof;synonymous	0.01	1	0.848033321898771	0.930358216473919	-0.00167451264540482	0.0087383339204118	214	34	180	4	0
KRTAP19-4	Cauchy	NA	1	0.959678812177333	0.967007038161679	NA	NA	NA	NA	NA	NA	NA
KRTAP19-5	missense;lof	0.01	0.902615299999999	0.902615299999999	0.902615299999999	-0.0021772708948976	0.0177942301174487	43	7	36	1	0
KRTAP19-5	missense;lof;synonymous	0.01	1	0.98335750849674	0.993884554095704	0.000399061554343656	0.0191306670141496	77	13	64	2	0
KRTAP19-5	Cauchy	NA	1	0.971496246018945	0.988474100697842	NA	NA	NA	NA	NA	NA	NA
KRTAP19-6	missense;lof;synonymous	0.01	0.202296	0.202296	0.202296	-0.0224250281870837	0.0175877413139932	44	4	40	1	0
KRTAP19-6	Cauchy	NA	0.202296	0.202296	0.202296	NA	NA	NA	NA	NA	NA	NA
KRTAP19-7	missense;lof;synonymous	0.01	0.500474898563198	0.379222632605512	0.550941185677628	-0.00982655954708354	0.0111750592758576	116	16	100	2	0
KRTAP19-7	Cauchy	NA	0.500474898563198	0.379222632605512	0.550941185677628	NA	NA	NA	NA	NA	NA	NA
KRTAP22-2	missense;lof	0.01	0.3314249	0.3314249	0.3314249	-0.0154328277291529	0.0158896914426646	59	7	52	1	0
KRTAP22-2	missense;lof;synonymous	0.01	0.487928142951613	0.401524894132867	0.393423972520617	-0.0116526551463169	0.0138903825691946	139	18	121	3	0
KRTAP22-2	Cauchy	NA	0.403833097075549	0.364739779440675	0.361022954165721	NA	NA	NA	NA	NA	NA	NA
KRTAP6-3	missense;lof	0.01	0.793250999999999	0.793250999999999	0.793250999999999	0.00333688361276334	0.0127317569143865	104	19	85	1	0
KRTAP6-3	missense;lof;synonymous	0.01	1	0.810917048445078	0.969014183756997	0.002263540635058	0.00946125594713326	185	33	152	2	0
KRTAP6-3	Cauchy	NA	1	0.802426257998594	0.945455182926838	NA	NA	NA	NA	NA	NA	NA
KRTAP6-2	missense;lof;synonymous	0.01	0.7194636	0.7194636	0.7194636	0.00897180869950305	0.0249788805219161	20	4	16	1	0
KRTAP6-2	Cauchy	NA	0.7194636	0.7194636	0.7194636	NA	NA	NA	NA	NA	NA	NA
KRTAP22-1	missense;lof	0.01	0.772659700000001	0.772659700000001	0.772659700000001	0.00639851677723837	0.0221480400270998	25	5	20	1	0
KRTAP22-1	missense;lof;synonymous	0.01	0.772659700000001	0.772659700000001	0.772659700000001	0.00639851677723837	0.0221480400270998	25	5	20	1	0
KRTAP22-1	Cauchy	NA	0.772659700000001	0.772659700000001	0.772659700000001	NA	NA	NA	NA	NA	NA	NA
KRTAP6-1	missense;lof	0.01	0.341832033306582	0.669056757813951	0.233453372753823	0.00418247384973581	0.00978487123325026	154	27	127	3	0
KRTAP6-1	missense;lof;synonymous	0.01	0.341832033306582	0.669056757813951	0.233453372753823	0.00418247384973581	0.00978487123325026	154	27	127	3	0
KRTAP6-1	Cauchy	NA	0.341832033306582	0.669056757813951	0.233453372753823	NA	NA	NA	NA	NA	NA	NA
KRTAP20-1	missense;lof	0.01	0.5611761	0.5611761	0.5611761	-0.00973660789725228	0.0167556074906571	47	7	40	1	0
KRTAP20-1	missense;lof;synonymous	0.01	0.5611761	0.5611761	0.5611761	-0.00973660789725228	0.0167556074906571	47	7	40	1	0
KRTAP20-1	Cauchy	NA	0.5611761	0.5611761	0.5611761	NA	NA	NA	NA	NA	NA	NA
KRTAP21-2	missense;lof;synonymous	0.01	0.3481338	0.3481338	0.3481338	-0.014272172804506	0.0152120451256388	64	8	56	1	0
KRTAP21-2	Cauchy	NA	0.3481338	0.3481338	0.3481338	NA	NA	NA	NA	NA	NA	NA
KRTAP7-1	missense;lof;synonymous	0.01	0.1873508	0.1873508	0.1873508	-0.0343164235823126	0.0260277206965005	21	1	20	1	0
KRTAP7-1	Cauchy	NA	0.1873508	0.1873508	0.1873508	NA	NA	NA	NA	NA	NA	NA
KRTAP11-1	missense;lof	0.01	0.0456059333017703	0.0387222149013075	0.0361309379909042	0.0256267216035417	0.0123972668692898	91	24	67	2	0
KRTAP11-1	missense;lof;synonymous	0.01	0.0456059333017703	0.0387222149013075	0.0361309379909042	0.0256267216035417	0.0123972668692898	91	24	67	2	0
KRTAP11-1	Cauchy	NA	0.0456059333017703	0.0387222149013076	0.0361309379909043	NA	NA	NA	NA	NA	NA	NA
KRTAP19-8	lof	0.01	0.949946900000001	0.949946900000001	0.949946900000001	-0.0016361192471167	0.0260638691284405	20	3	17	1	0
KRTAP19-8	missense;lof	0.01	0.949946900000001	0.949946900000001	0.949946900000001	-0.0016361192471167	0.0260638691284405	20	3	17	1	0
