Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
RPS3A,ENSG00000145425,0.00000576899229587369,0.00000263423200164148,0.00186637323616468,0.0355066806811808,synonymous,4151099582,4,151099582,
DEFB115,ENSG00000215547,0.0000127242534500027,0.0000132070068574741,0.000340908145900931,0.0299984232034003,synonymous,20031257607,20,31257607,
C19orf84,ENSG00000262874,0.0000505338215803786,0.00435605301109088,0.0000326847965854693,0.0282479513758792,synonymous,19051387118,19,51387118,
ZFP37,ENSG00000136866,0.0000690045282928375,0.0000600243099942999,0.00232950136783838,0.0221384356758873,synonymous,9113042706,9,113042706,
ZNF280C,ENSG00000056277,0.0000774447479248153,0.000139254442183212,0.00010078138315861,0.0105355430976215,synonymous,23130204915,X,130204915,
PIH1D1,ENSG00000104872,0.0000847167856538045,0.00058856847759492,0.0000908835421997711,0.0163531893676551,synonymous,19049441298,19,49441298,
FREM1,ENSG00000164946,0.000113193516534604,0.0233146630584642,0.0000733780557051755,0.00287431331697415,synonymous,9014737353,9,14737353,
NF1,ENSG00000196712,0.000128247361944722,0.0462845884847574,0.0000523848782818526,0.00300705700573881,synonymous,17031095231,17,31095231,
VEGFB,ENSG00000173511,0.00015331728891177,0.00731428132648271,0.000131382978956873,-0.00852033560638543,synonymous,11064229538,11,64229538,
CDC42EP1,ENSG00000128283,0.000164982629351385,0.0000965515306381448,0.0914885319150031,-0.011775676094762,synonymous,22037566324,22,37566324,
ZNF148,ENSG00000163848,0.000343643186925702,0.000195304367353488,0.0302586554178432,0.0153233848999068,synonymous,3125232233,3,125232233,
CBLC,ENSG00000142273,0.000360593601845371,0.497152172284208,0.000156064911299825,0.00331266279176006,synonymous,19044777839,19,44777839,
CEND1,ENSG00000184524,0.000399594216334398,0.0194938270383396,0.000307206268218563,0.0172356625327931,synonymous,11000788065,11,788065,
OPCML,ENSG00000183715,0.000429783855977139,0.010015982715138,0.000328461568977367,0.0130860295853101,synonymous,11132420136,11,132420136,
TCTEX1D2,ENSG00000213123,0.000443891122710927,0.00185822456789098,0.00054725297503766,0.0515139816244353,synonymous,3196291265,3,196291265,
ETHE1,ENSG00000105755,0.000456906180977712,0.000297614158101256,0.0259208003203344,0.0229606026265554,synonymous,19043501719,19,43501719,
TNFRSF8,ENSG00000120949,0.000491872186064612,0.000327534161576715,0.00903796160919978,-0.00665976025748155,synonymous,1012063501,1,12063501,
BIN2,ENSG00000110934,0.000513284229918365,0.000422528612746609,0.00328074638647347,0.0111597781767172,synonymous,12051281421,12,51281421,
TPPP3,ENSG00000159713,0.000582888154367134,0.00156760615364171,0.000636127659644936,0.022587682354717,synonymous,16067384822,16,67384822,
FAM20C,ENSG00000177706,0.000595400467048868,0.000304391354781997,0.0166415835740041,0.010710501791074,synonymous,7000193100,7,193100,
BCL9,ENSG00000116128,0.000675448530866984,0.000412102030536876,0.00977047042562473,-0.00904264494715222,synonymous,1147611763,1,147611763,
NRXN2,ENSG00000110076,0.000682419587458849,0.00539661656844459,0.000682984107100215,-0.00530746777741214,synonymous,11064601406,11,64601406,
SMIM7,ENSG00000214046,0.000684640487834787,0.00057870208732369,0.00557726375102063,0.0313538371215984,synonymous,19016647132,19,16647132,
AXIN1,ENSG00000103126,0.000696802425503074,0.000483759269322204,0.00707622915967543,0.00603320203986755,synonymous,16000282323,16,282323,
TMEM39B,ENSG00000121775,0.000779013398340078,0.000666117122840593,0.0365012676675127,0.00856413197991292,synonymous,1032072921,1,32072921,
FLAD1,ENSG00000160688,0.000792975098657056,0.00125394687828129,0.000926981304475882,0.0100121060401286,synonymous,1154978669,1,154978669,
AGO2,ENSG00000123908,0.000811900439193991,0.0157797848505858,0.00051324013035059,0.00637977369697682,synonymous,8140515158,8,140515158,
RNASEL,ENSG00000135828,0.000818108049386645,0.000813359516533052,0.00106591267670852,0.00759806658297872,synonymous,1182575318,1,182575318,
RASGRP1,ENSG00000172575,0.000879312291844903,0.00169824844733846,0.000841710745558055,0.00837948345368296,synonymous,15038484184,15,38484184,
MCOLN3,ENSG00000055732,0.000898935268115131,0.00210993048118402,0.000847402326272784,0.00655009481644331,synonymous,1085019045,1,85019045,
PIGP,ENSG00000185808,0.000915198163402353,0.00138078756969873,0.000998007979515436,0.0154876398157069,synonymous,21037065498,21,37065498,
ISCA1,ENSG00000135070,0.000932839738404745,0.0832185543459831,0.000639823549745122,0.0270740585084243,synonymous,9086265924,9,86265924,
SLC25A29,ENSG00000197119,0.000954835201784965,0.0166013028415308,0.00076760933409703,-0.00613753423896865,synonymous,14100292164,14,100292164,
TMPRSS11E,ENSG00000087128,0.000972191197136096,0.000842304486753709,0.0410216688751985,0.00897626902846655,synonymous,4068447432,4,68447432,
ID4,ENSG00000172201,0.00103077391534634,0.192640221572726,0.000570100327729861,0.00670681745565529,synonymous,6019837662,6,19837662,
ADM,ENSG00000148926,0.00103084067999848,0.00251435007490963,0.00139194454799496,0.0264121908207965,synonymous,11010305610,11,10305610,
MBLAC1,ENSG00000214309,0.00103217190929217,0.000583519223356088,0.00990516977400135,0.0216140342673679,synonymous,7100122146,7,100122146,
PRDM4,ENSG00000110851,0.00107657525087834,0.00497882754368373,0.000900954641089857,0.00634942555506639,synonymous,12107734130,12,107734130,
WDTC1,ENSG00000142784,0.00107774613956779,0.262989567304438,0.000531376979924225,0.00367103252608726,synonymous,1027260968,1,27260968,
ARFIP2,ENSG00000132254,0.0011292267987989,0.00102334355226497,0.00173071077900289,-0.00934795690739376,synonymous,11006477005,11,6477005,
ZNF79,ENSG00000196152,0.00116891043595946,0.000802117143811731,0.214976016063508,-0.0110721633779437,synonymous,9127424656,9,127424656,
SRGAP3,ENSG00000196220,0.00117075261600819,0.00102284058885438,0.0283312024275164,-0.00793554345578392,synonymous,3008985332,3,8985332,
EP300,ENSG00000100393,0.00117777739095259,0.000527936032423515,0.0595749021003281,0.00454040649191203,synonymous,22041092915,22,41092915,
CD8B,ENSG00000172116,0.00119720119617772,0.00106778330644142,0.00398470411262863,-0.0114403484477151,synonymous,2086815601,2,86815601,
ADCYAP1,ENSG00000141433,0.00122300333650949,0.00248705494895129,0.001091472315497,0.0136801152543884,synonymous,18000904297,18,904297,
WIPI2,ENSG00000157954,0.00122791879484707,0.704723698615918,0.000632805709868345,-0.000820793089033715,synonymous,7005190343,7,5190343,
FCER1G,ENSG00000158869,0.00131746706819647,0.0146801662639787,0.000647778086398487,0.0360639225483783,synonymous,1161210298,1,161210298,
CYP11B2,ENSG00000179142,0.00134790463134526,0.000892247758611076,0.0375924045242223,-0.00709529260021806,synonymous,8142911845,8,142911845,
DNAJB7,ENSG00000172404,0.00148460724707011,0.0254472897914998,0.000794277219129613,0.0206545863680365,synonymous,22040856369,22,40856369,
OR5B2,ENSG00000172365,0.00149103333454192,0.000927087843787477,0.00921397729892037,0.0157366971343198,synonymous,11058422308,11,58422308,
PCDHB11,ENSG00000197479,0.00149647451484802,0.001586362515688,0.00318143169346852,0.00609545317800134,synonymous,5141194635,5,141194635,
RNF135,ENSG00000181481,0.00153485969717937,0.213827030712723,0.00106080684397813,0.00510152731147715,synonymous,17030970950,17,30970950,
ERP44,ENSG00000023318,0.001565507262141,0.00144777651883976,0.00359442778273245,-0.0185719726329714,synonymous,9099982593,9,99982593,
