Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
GCK,ENSG00000106633,7.7141724731346e-25,1.90011626685412e-24,2.24715015281188e-12,0.183144035431794,pLoF,7044139451,7,44139451,
GIGYF1,ENSG00000146830,3.74257094839997e-11,1.15719134202484e-11,0.00000394662283209612,0.0768514985830059,pLoF,7100676229,7,100676229,
HNF1A,ENSG00000135100,2.91238582139641e-7,1.79193830440738e-7,0.00246082187897811,0.0814558342269366,pLoF,12120978750,12,120978750,
STAM2,ENSG00000115145,0.00000356220147157416,0.00000311672684283337,0.000395093627019505,0.0397267636119474,pLoF,2152120520,2,152120520,
TNRC6B,ENSG00000100354,0.0000110812418128159,0.00000387575990867806,0.00384512206757059,0.0735924681439471,pLoF,22040177778,22,40177778,
MAP3K15,ENSG00000180815,0.0000132208456715688,0.0000106947925321288,0.00042839486658397,-0.00926785514669539,pLoF,23019355683,X,19355683,
TCF3,ENSG00000071564,0.0000183213042685981,0.000104871757919844,0.0000693742141167908,0.0764144948863331,pLoF,19001605246,19,1605246,
GUF1,ENSG00000151806,0.0000246987584127112,0.0000730636364961734,0.0000911721176886093,0.0184914162331153,pLoF,4044678555,4,44678555,
REV3L,ENSG00000009413,0.0000407504912652845,0.000212896573246857,0.000120387646739273,0.0592855322857532,pLoF,6111299933,6,111299933,
IRS2,ENSG00000185950,0.0000417244096200253,0.0000729642200045788,0.000383403255984294,0.0912124851781179,pLoF,13109756255,13,109756255,
TRNP1,ENSG00000253368,0.0000689833937621565,0.0169335092764702,0.000049756002872936,0.0662260615940973,pLoF,1026993650,1,26993650,
IL22RA1,ENSG00000142677,0.0000807886261038337,0.0215108168163198,0.0000325031798197317,0.0499251810489443,pLoF,1024120755,1,24120755,
MEX3B,ENSG00000183496,0.0000863740352227138,0.0135051542423774,0.0000679464318068534,0.0615527008863338,pLoF,15082043074,15,82043074,
DPM1,ENSG00000000419,0.0000878131134856019,0.310890657593474,0.0000451593309723775,0.0149081343754265,pLoF,20050935125,20,50935125,
SPART,ENSG00000133104,0.0000981670002759838,0.00605572319846004,0.0000489817860203079,0.0271313101214554,pLoF,13036297564,13,36297564,
NUP58,ENSG00000139496,0.000161040037730431,0.000114403312977851,0.00177172709526352,0.106411131016343,pLoF,13025301741,13,25301741,
PTPN22,ENSG00000134242,0.000163431829908856,0.000320716938738252,0.000563571859335532,0.0268255996492994,pLoF,1113811558,1,113811558,
CAMSAP1,ENSG00000130559,0.00016415865277275,0.00361055536630384,0.000204128951483473,0.045053096114476,pLoF,9135811214,9,135811214,
SMG1,ENSG00000157106,0.000167175292479671,0.000307528374556609,0.000552248155630819,0.106929481013355,pLoF,16018801101,16,18801101,
TM4SF20,ENSG00000168955,0.000186515170590096,0.000424699170972431,0.000364093840231949,0.0631901529918376,pLoF,2227357038,2,227357038,
UMODL1,ENSG00000177398,0.000214239391044813,0.000475499518810429,0.000851563244008258,0.0197366578729291,pLoF,21042071318,21,42071318,
TRRAP,ENSG00000196367,0.000227270260623968,0.000108408265079629,0.0142360317205725,0.0841950376801638,pLoF,7098881095,7,98881095,
TJP3,ENSG00000105289,0.000262438701158385,0.00122272289015335,0.000383139257309817,0.0332583714435687,pLoF,19003721834,19,3721834,
ASAP3,ENSG00000088280,0.000264528974908917,0.00333019601010232,0.000261476571733144,0.0330499654861963,pLoF,1023424493,1,23424493,
CCDC158,ENSG00000163749,0.000271322611242297,0.000203352631463871,0.00344015133748687,0.0241725755984639,pLoF,4076309016,4,76309016,
ARSH,ENSG00000205667,0.000273990123781043,0.246339765419372,0.000124411342494524,0.00966214165300157,pLoF,23003006577,X,3006577,
DENND4A,ENSG00000174485,0.000334757708493116,0.00016722844977568,0.0240981923005574,0.0505573431545384,pLoF,15065661779,15,65661779,
ZNF90,ENSG00000213988,0.00034299805754634,0.000579596188465148,0.000376535331771954,0.0904329295191371,pLoF,19020078026,19,20078026,
MFSD4A,ENSG00000174514,0.000354099997922019,0.000341779762278227,0.00158856152542719,0.0584757159371505,pLoF,1205568992,1,205568992,
DISC1,ENSG00000162946,0.000357994765854075,0.0144170247412718,0.000200783086824918,0.0439062439754216,pLoF,1231626799,1,231626799,
WDR70,ENSG00000082068,0.000365119891192034,0.000287070853872473,0.0691763608192176,0.0388874277621258,pLoF,5037379222,5,37379222,
MIB1,ENSG00000101752,0.000373285707944482,0.000136286428758625,0.127964541420721,0.0202676898057315,pLoF,18021741508,18,21741508,
SOS2,ENSG00000100485,0.000377928503987435,0.000775037024024372,0.00157222353207764,0.0576033538950992,pLoF,14050112130,14,50112130,
PCDHGC3,ENSG00000240184,0.000478261832459581,0.0013978059048102,0.000731064101327283,0.0558265177314351,pLoF,5141476018,5,141476018,
HECTD1,ENSG00000092148,0.000487390716558123,0.00160053624159584,0.000978782192559313,0.0628162263959703,pLoF,14031100846,14,31100846,
PCDH12,ENSG00000113555,0.000495412383832439,0.00381802853412327,0.000351839221760519,0.0211740912375304,pLoF,5141938581,5,141938581,
IRS1,ENSG00000169047,0.000515571283555172,0.000282201334467991,0.02050164635198,0.050408141687721,pLoF,2226794943,2,226794943,
TPBGL,ENSG00000261594,0.000519619481020639,0.00482620913422704,0.000455267556468408,0.0754438710081837,pLoF,11075240967,11,75240967,
CYTH3,ENSG00000008256,0.000542838278350333,0.00169068635624869,0.000662705225117133,0.0789513291429439,pLoF,7006156779,7,6156779,
SMARCAD1,ENSG00000163104,0.000554246695915306,0.000500781193665589,0.00330403953051261,0.0829004280681656,pLoF,4094208316,4,94208316,
ADCY3,ENSG00000138031,0.000561581714062398,0.000620015846062527,0.00193423385855862,0.0344291111722596,pLoF,2024814391,2,24814391,
TMEM38B,ENSG00000095209,0.00057178630407273,0.000395269299825918,0.00501883679880266,0.0606491830698015,pLoF,9105694600,9,105694600,
