Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
GCK,ENSG00000106633,7.56658865966979e-13,5.60748496837555e-13,0.00000844024213841887,0.046521352668367,missense|LC,7044139451,7,44139451,
ANKH,ENSG00000154122,1.1220919428251e-10,0.000053894594044257,1.60298848975015e-11,-0.0081012087717459,missense|LC,5014711150,5,14711150,
MAP3K15,ENSG00000180815,0.0000195728144031238,0.0000154425224966337,0.000476214454059543,-0.00424281650641353,missense|LC,23019355683,X,19355683,
ZNF771,ENSG00000179965,0.0000685080927080861,0.000141855388931411,0.0000715090728971024,0.00975026534997171,missense|LC,16030408021,16,30408021,
ANTKMT,ENSG00000103254,0.0000982110653617863,0.00818242531972846,0.0000702853554748195,0.0130383873265755,missense|LC,16000716147,16,716147,
SIAH3,ENSG00000215475,0.000105815170512447,0.0000889935427504929,0.00428935927930918,0.020843489476848,missense|LC,13045783319,13,45783319,
CST8,ENSG00000125815,0.000106971010159773,0.000105911030749306,0.00120803764442523,0.0192461580992542,missense|LC,20023491617,20,23491617,
HNF4A,ENSG00000101076,0.000117602617488166,0.000712481787078056,0.000298897648140617,0.017026904295599,missense|LC,20044401246,20,44401246,
SMAD7,ENSG00000101665,0.000118288710359682,0.0000576427356648868,0.0104850067822344,0.0233460441362444,missense|LC,18048921296,18,48921296,
S100A12,ENSG00000163221,0.00021508927835745,0.105975323648127,0.000092953116048955,0.0175363764757103,missense|LC,1153373770,1,153373770,
CD300C,ENSG00000167850,0.000216830427914316,0.109907784534142,0.0000876987377361749,0.00884619582263581,missense|LC,17074541554,17,74541554,
KCNK5,ENSG00000164626,0.000305759243274251,0.000495608922485458,0.000549893567066695,0.00584643772831911,missense|LC,6039190789,6,39190789,
OR52E4,ENSG00000180974,0.000307975213806988,0.00578395433822609,0.000238168838031627,0.00730472605997547,missense|LC,11005884258,11,5884258,
RPS16,ENSG00000105193,0.000355145611280361,0.000231222647907314,0.0188776309565929,0.0265591174160441,missense|LC,19039433209,19,39433209,
CAPS2,ENSG00000180881,0.000373554083431982,0.000292865451642421,0.0077877584291195,0.00759406414275853,missense|LC,12075276117,12,75276117,
OLR1,ENSG00000173391,0.000399629679442737,0.281598024591283,0.000223791314041155,0.00660254785197169,missense|LC,12010159787,12,10159787,
RBBP4,ENSG00000162521,0.00041222149210296,0.0302143514426928,0.000187676364139522,0.0294429339188622,missense|LC,1032650317,1,32650317,
FAM234A,ENSG00000167930,0.000424284405875275,0.000208408361258017,0.00622537708482085,-0.00571768394896669,missense|LC,16000231109,16,231109,
NHP2,ENSG00000145912,0.000444377170026766,0.00619529767992799,0.000345211228776066,0.00641711964124195,missense|LC,5178146025,5,178146025,
DUSP16,ENSG00000111266,0.000451009584369277,0.000626638183875206,0.00083066024114864,0.00658596517331007,missense|LC,12012476757,12,12476757,
AGBL2,ENSG00000165923,0.000470507250407426,0.000541603116737344,0.00158265885970965,0.00766412225257846,missense|LC,11047660090,11,47660090,
BAG2,ENSG00000112208,0.000494517822268059,0.00193886084821449,0.000705999608294983,0.0219863706725882,missense|LC,6057168386,6,57168386,
KNTC1,ENSG00000184445,0.000505203143654431,0.000252441298841388,0.073790589473147,-0.00434094447012332,missense|LC,12122522254,12,122522254,
YAE1,ENSG00000241127,0.000547083144603278,0.00204802238826063,0.000491283123324582,0.00816700284148921,missense|LC,7039566275,7,39566275,
SNAPC2,ENSG00000104976,0.000564880928867417,0.000322736276081814,0.0546882134298105,0.0108586679602822,missense|LC,19007916089,19,7916089,
ADGRV1,ENSG00000164199,0.000582456779252949,0.000219943913989162,0.110672158673098,0.00221872104497997,missense|LC,5090558820,5,90558820,
KSR2,ENSG00000171435,0.000587162828504018,0.00793192080864291,0.000360534813661717,0.0047430264598804,missense|LC,12117469562,12,117469562,
HOXC13,ENSG00000123364,0.000738311141688763,0.00133080682730968,0.000909364328012696,0.00962849134960992,missense|LC,12053938833,12,53938833,
KHSRP,ENSG00000088247,0.000770336962961471,0.47995130844659,0.000397884668995263,0.00183598200494467,missense|LC,19006411645,19,6411645,
SPOCK2,ENSG00000107742,0.000787328751550853,0.00051036960634776,0.00736830388249277,-0.00645360780032183,missense|LC,10072062595,10,72062595,
HEXIM1,ENSG00000186834,0.000803137655810526,0.016678986562642,0.000498687997981029,0.0110435006776905,missense|LC,17045143463,17,45143463,
SNX17,ENSG00000115234,0.000821237500137517,0.0223749162046032,0.000349301086506326,0.00403436366614402,missense|LC,2027366660,2,27366660,
PSMB9,ENSG00000240065,0.000863583855868488,0.0308065541747098,0.000688130417651367,0.00508592672855304,missense|LC,6032849195,6,32849195,
AGL,ENSG00000162688,0.000890418063939524,0.000471877351814198,0.0238167796533932,-0.00455235512503313,missense|LC,1099850997,1,99850997,
TMPRSS13,ENSG00000137747,0.000919371128668689,0.198416639700086,0.000408658075520707,0.00333930745788299,missense|LC,11117902163,11,117902163,
SERPINA5,ENSG00000188488,0.000941658535023371,0.000604199815473772,0.430120930507331,-0.00705468263787631,missense|LC,14094587282,14,94587282,
TOE1,ENSG00000132773,0.000960094739616113,0.0131696777286132,0.000646170868409679,-0.00656857944300261,missense|LC,1045339772,1,45339772,
TAB1,ENSG00000100324,0.000989910715510578,0.922338146350944,0.000511620967517445,-0.000228921031292655,missense|LC,22039399708,22,39399708,
KIFC2,ENSG00000167702,0.00101579709798294,0.00151518777703497,0.00122542856871122,0.00370173617991113,missense|LC,8144463733,8,144463733,
POMC,ENSG00000115138,0.00104095601074528,0.0063462813906533,0.000652064604697355,-0.00421986225795296,missense|LC,2025160941,2,25160941,
ATRX,ENSG00000085224,0.00105697191340548,0.000570796107831395,0.0336342513213523,0.00499759428181124,missense|LC,23077508277,X,77508277,
AC022414.1,ENSG00000284762,0.00109576014812729,0.000498781600705267,0.0851274179816672,-0.0120012896960771,missense|LC,5077180365,5,77180365,
CFAP65,ENSG00000181378,0.00109741358703885,0.930565826778693,0.000507755964374135,-0.0000933109136746297,missense|LC,2219002878,2,219002878,
SLC44A4,ENSG00000204385,0.00111302373807609,0.242827123625402,0.000640146350762594,0.0018102193106256,missense|LC,6031859644,6,31859644,
GABRG2,ENSG00000113327,0.00115172545819109,0.00137347216167139,0.00715193894786414,0.0209688600809758,missense|LC,5162067976,5,162067976,
IFT57,ENSG00000114446,0.00119366171998658,0.00123696290381314,0.00243060455408894,0.00928546278009712,missense|LC,3108162423,3,108162423,
POTEB3,ENSG00000278522,0.00121617398907381,0.0844056523591252,0.000647702605188982,0.00996754744383632,missense|LC,15021422031,15,21422031,
EXOC3L2,ENSG00000283632,0.00124958412082732,0.014263468103447,0.000744119100062002,0.00617082202540223,missense|LC,19045212955,19,45212955,
STAT5B,ENSG00000173757,0.00125094886518151,0.00191339392092527,0.00660187237798926,0.0154314205707532,missense|LC,17042201720,17,42201720,
NELFE,ENSG00000204356,0.00130901366479197,0.00197657699417375,0.00140897693186903,0.00620735820946345,missense|LC,6031947099,6,31947099,
AL158151.3,ENSG00000235007,0.00133005712521173,0.00254687542205523,0.00121435059072139,0.0438807818853157,missense|LC,9129134742,9,129134742,
ACE,ENSG00000159640,0.00133705522661454,0.00576446874924064,0.00154897284643996,0.002758047580023,missense|LC,17063472061,17,63472061,
CASC3,ENSG00000108349,0.00139162224472789,0.000882177874538259,0.0928966293410707,0.00684687100674686,missense|LC,17040140478,17,40140478,
CLTC,ENSG00000141367,0.00143570760548439,0.00395496962507069,0.00233056964586409,0.0143377133702655,missense|LC,17059620059,17,59620059,
KIAA1210,ENSG00000250423,0.00146008282402754,0.00302752602243317,0.00288957394325551,0.00360420242546792,missense|LC,23119075016,X,119075016,
XIRP2,ENSG00000163092,0.00147634145916542,0.0554097795595349,0.000864755784906301,0.0118345260171505,missense|LC,2166903373,2,166903373,
PDE8B,ENSG00000113231,0.00165642510105846,0.000765250397355866,0.0849992401357116,-0.0108996626141857,missense|LC,5077210684,5,77210684,
PPP1R12A,ENSG00000058272,0.00167011457095834,0.051140592894276,0.00120883755478507,0.0038823407939503,missense|LC,12079775885,12,79775885,
YARS1,ENSG00000134684,0.0016879740381528,0.0270749028387453,0.00101084970332532,0.00851925201278935,missense|LC,1032770257,1,32770257,
ABCC8,ENSG00000006071,0.00169133899390406,0.000826709482444787,0.0372465990708766,0.00559413144487194,missense|LC,11017387500,11,17387500,
LIG4,ENSG00000174405,0.00173048279224786,0.000967966483745086,0.186780847012094,-0.00734968503137211,missense|LC,13108208507,13,108208507,
IL22RA2,ENSG00000164485,0.00179501121078784,0.00107549336548951,0.0140899890225008,0.0110136046007726,missense|LC,6137145552,6,137145552,
PRMT1,ENSG00000126457,0.00183280608491687,0.270859653444689,0.000841580242904039,0.00853577570470051,missense|LC,19049673646,19,49673646,
KCTD18,ENSG00000155729,0.00184796059437442,0.00092197592734089,0.150472610183554,-0.0102148980494174,missense|LC,2200490008,2,200490008,
CDC20B,ENSG00000164287,0.00186097897525594,0.00183855749116346,0.00363139505833954,0.00740090315716127,missense|LC,5055108335,5,55108335,
TSR2,ENSG00000158526,0.00186345509932229,0.0282580911907371,0.00118219336220826,0.0146943644765255,missense|LC,23054440356,X,54440356,
VAMP3,ENSG00000049245,0.00187734793680572,0.0621999652123135,0.00117768001971985,0.0141488713836692,missense|LC,1007766388,1,7766388,
SH3TC2,ENSG00000169247,0.0018870981820176,0.2082430984773,0.000876237300278304,0.00158100838103517,missense|LC,5149004617,5,149004617,
OR2T35,ENSG00000177151,0.00200994862185799,0.758636500213604,0.00110287484688087,0.00101334973835514,missense|LC,1248638511,1,248638511,
CTTN,ENSG00000085733,0.00201682187300434,0.00117956430572208,0.151929398373799,-0.00597611281693656,missense|LC,11070407238,11,70407238,
ASIC1,ENSG00000110881,0.002028972201504,0.000938269224522781,0.0815755243836923,0.0144600527394829,missense|LC,12050058630,12,50058630,
ICMT,ENSG00000116237,0.00204387458657429,0.0161346709562816,0.001324423854554,0.00617693100863058,missense|LC,1006218253,1,6218253,
TEPP,ENSG00000159648,0.00204401937743914,0.00139642823014574,0.106948524601683,0.00962457108931734,missense|LC,16057976356,16,57976356,
RAB10,ENSG00000084733,0.00208470371065461,0.00210121147222142,0.00643776244845351,0.0535943765604093,missense|LC,2026034484,2,26034484,
ATG16L1,ENSG00000085978,0.0021324141191863,0.00127280038645505,0.0468928139302112,0.0102449067050652,missense|LC,2233251757,2,233251757,
ANKS1B,ENSG00000185046,0.00221683278475293,0.0580737115988949,0.00121811645829761,0.0175351589215356,missense|LC,12098732363,12,98732363,
STK26,ENSG00000134602,0.00228423524469956,0.00195442664689127,0.00613795496491243,-0.00681256683049752,missense|LC,23132023534,X,132023534,
SEL1L3,ENSG00000091490,0.00230664675120695,0.0230318147647804,0.00140756949858944,0.00447492664003835,missense|LC,4025748336,4,25748336,
SLC15A5,ENSG00000188991,0.00230886095156391,0.94150986054082,0.00114593628557702,-0.00007726147799045,missense|LC,12016189582,12,16189582,
TBC1D3G,ENSG00000260287,0.0023416343132685,0.0290648376517455,0.00181282109592051,0.115066847703298,missense|LC,17036327445,17,36327445,
RNF133,ENSG00000188050,0.00238236179122986,0.0013501272797396,0.0296671294157944,0.0061985359497713,missense|LC,7122697739,7,122697739,
